date,panneau solaire
2018-01-07,0.5142857142857142
2018-01-14,0.38285714285714284
2018-01-21,0.4342857142857143
2018-01-28,0.52
2018-02-04,0.4514285714285714
2018-02-11,0.38857142857142857
2018-02-18,0.32571428571428573
2018-02-25,0.29714285714285715
2018-03-04,0.19428571428571428
2018-03-11,0.34285714285714286
2018-03-18,0.34285714285714286
2018-03-25,0.32
2018-04-01,0.41714285714285715
2018-04-08,0.37142857142857144
2018-04-15,0.37714285714285717
2018-04-22,0.22857142857142856
2018-04-29,0.37142857142857144
2018-05-06,0.3485714285714286
2018-05-13,0.4057142857142857
2018-05-20,0.49142857142857144
2018-05-27,0.44571428571428573
2018-06-03,0.33714285714285713
2018-06-10,0.38857142857142857
2018-06-17,0.30857142857142855
2018-06-24,0.2857142857142857
2018-07-01,0.2914285714285714
2018-07-08,0.41714285714285715
2018-07-15,0.4
2018-07-22,0.6342857142857142
2018-07-29,0.24571428571428572
2018-08-05,0.2342857142857143
2018-08-12,0.3142857142857143
2018-08-19,0.4
2018-08-26,0.2571428571428571
2018-09-02,0.2571428571428571
2018-09-09,0.18857142857142858
2018-09-16,0.29714285714285715
2018-09-23,0.25142857142857145
2018-09-30,0.45714285714285713
2018-10-07,0.3485714285714286
2018-10-14,0.4228571428571429
2018-10-21,0.4228571428571429
2018-10-28,0.3142857142857143
2018-11-04,0.4857142857142857
2018-11-11,0.3142857142857143
2018-11-18,0.5885714285714285
2018-11-25,0.5314285714285715
2018-12-02,0.32571428571428573
2018-12-09,0.4685714285714286
2018-12-16,0.4
2018-12-23,0.3485714285714286
2018-12-30,0.42857142857142855
2019-01-06,0.44
2019-01-13,0.3142857142857143
2019-01-20,0.2742857142857143
2019-01-27,0.4114285714285714
2019-02-03,0.4742857142857143
2019-02-10,0.44571428571428573
2019-02-17,0.4228571428571429
2019-02-24,0.6342857142857142
2019-03-03,0.32
2019-03-10,0.6742857142857143
2019-03-17,0.3142857142857143
2019-03-24,0.3028571428571429
2019-03-31,0.41714285714285715
2019-04-07,0.4742857142857143
2019-04-14,0.36
2019-04-21,0.3942857142857143
2019-04-28,0.5028571428571429
2019-05-05,0.37714285714285717
2019-05-12,0.5485714285714286
2019-05-19,0.4228571428571429
2019-05-26,0.36
2019-06-02,0.5028571428571429
2019-06-09,0.44
2019-06-16,0.3028571428571429
2019-06-23,0.44
2019-06-30,1.0
2019-07-07,0.7257142857142858
2019-07-14,0.4342857142857143
2019-07-21,0.4342857142857143
2019-07-28,0.4228571428571429
2019-08-04,0.4685714285714286
2019-08-11,0.3314285714285714
2019-08-18,0.3314285714285714
2019-08-25,0.3142857142857143
2019-09-01,0.26857142857142857
2019-09-08,0.41714285714285715
2019-09-15,0.5428571428571428
2019-09-22,0.4057142857142857
2019-09-29,0.4342857142857143
2019-10-06,0.4342857142857143
2019-10-13,0.3657142857142857
2019-10-20,0.48
2019-10-27,0.26285714285714284
2019-11-03,0.2571428571428571
2019-11-10,0.2914285714285714
2019-11-17,0.44571428571428573
2019-11-24,0.2057142857142857
2019-12-01,0.34285714285714286
2019-12-08,0.38285714285714284
2019-12-15,0.37142857142857144
2019-12-22,0.26857142857142857
2019-12-29,0.32571428571428573
2020-01-05,0.45714285714285713
2020-01-12,0.34285714285714286
2020-01-19,0.4685714285714286
2020-01-26,0.4514285714285714
2020-02-02,0.4514285714285714
2020-02-09,0.3314285714285714
2020-02-16,0.3142857142857143
2020-02-23,0.35428571428571426
2020-03-01,0.38285714285714284
2020-03-08,0.2742857142857143
2020-03-15,0.2742857142857143
2020-03-22,0.3657142857142857
2020-03-29,0.37142857142857144
2020-04-05,0.30857142857142855
2020-04-12,0.33714285714285713
2020-04-19,0.4685714285714286
2020-04-26,0.37142857142857144
2020-05-03,0.3485714285714286
2020-05-10,0.4228571428571429
2020-05-17,0.4057142857142857
2020-05-24,0.5257142857142857
2020-05-31,0.3485714285714286
2020-06-07,0.3485714285714286
2020-06-14,0.41714285714285715
2020-06-21,0.9085714285714286
