date,panneau solaire
2018-01-07,0.31
2018-01-14,0.38
2018-01-21,0.38
2018-01-28,0.345
2018-02-04,0.275
2018-02-11,0.34
2018-02-18,0.43
2018-02-25,0.465
2018-03-04,0.285
2018-03-11,0.19
2018-03-18,0.355
2018-03-25,0.28
2018-04-01,0.42
2018-04-08,0.29
2018-04-15,0.24
2018-04-22,0.41
2018-04-29,0.38
2018-05-06,0.27
2018-05-13,0.37
2018-05-20,0.47
2018-05-27,0.27
2018-06-03,0.28
2018-06-10,0.34
2018-06-17,0.29
2018-06-24,0.3
2018-07-01,0.5
2018-07-08,0.41
2018-07-15,0.38
2018-07-22,0.315
2018-07-29,0.275
2018-08-05,0.225
2018-08-12,0.315
2018-08-19,0.315
2018-08-26,0.44
2018-09-02,0.315
2018-09-09,0.35
2018-09-16,0.385
2018-09-23,0.61
2018-09-30,0.5
2018-10-07,0.42
2018-10-14,0.385
2018-10-21,0.54
2018-10-28,0.6
2018-11-04,0.325
2018-11-11,0.35
2018-11-18,0.375
2018-11-25,0.52
2018-12-02,0.605
2018-12-09,0.42
2018-12-16,0.465
2018-12-23,0.38
2018-12-30,0.52
2019-01-06,0.46
2019-01-13,0.255
2019-01-20,0.475
2019-01-27,0.39
2019-02-03,0.485
2019-02-10,0.54
2019-02-17,0.455
2019-02-24,0.415
2019-03-03,0.495
2019-03-10,0.635
2019-03-17,0.41
2019-03-24,0.42
2019-03-31,0.585
2019-04-07,0.565
2019-04-14,0.345
2019-04-21,0.43
2019-04-28,0.425
2019-05-05,0.51
2019-05-12,0.415
2019-05-19,0.56
2019-05-26,0.51
2019-06-02,0.325
2019-06-09,0.47
2019-06-16,0.495
2019-06-23,0.605
2019-06-30,0.805
2019-07-07,0.555
2019-07-14,0.465
2019-07-21,0.555
2019-07-28,0.495
2019-08-04,0.33
2019-08-11,0.42
2019-08-18,0.385
2019-08-25,0.48
2019-09-01,0.505
2019-09-08,0.305
2019-09-15,0.295
2019-09-22,0.515
2019-09-29,0.405
2019-10-06,0.47
2019-10-13,0.455
2019-10-20,0.5
2019-10-27,0.32
2019-11-03,0.465
2019-11-10,0.465
2019-11-17,0.62
2019-11-24,0.3
2019-12-01,0.33
2019-12-08,0.62
2019-12-15,0.405
2019-12-22,0.33
2019-12-29,0.28
2020-01-05,0.54
2020-01-12,0.46
2020-01-19,0.465
2020-01-26,0.49
2020-02-02,0.5
2020-02-09,0.47
2020-02-16,0.6
2020-02-23,0.625
2020-03-01,0.485
2020-03-08,0.34
2020-03-15,0.26
2020-03-22,0.45
2020-03-29,0.395
2020-04-05,0.35
2020-04-12,0.475
2020-04-19,0.335
2020-04-26,0.375
2020-05-03,0.49
2020-05-10,0.525
2020-05-17,0.595
2020-05-24,0.64
2020-05-31,0.53
2020-06-07,0.455
2020-06-14,0.465
2020-06-21,1.0
