geoName,geoCode,Holzbauer
Burgenland,AT-1,100
Carinthia,AT-2,36
Lower Austria,AT-3,62
Salzburg,AT-5,31
Styria,AT-6,84
Tyrol,AT-7,20
Upper Austria,AT-4,12
Vienna,AT-9,40
Vorarlberg,AT-8,46
