date,videos,isPartial
2018-01-07,100,False
2018-01-14,99,False
2018-01-21,97,False
2018-01-28,100,False
2018-02-04,93,False
2018-02-11,96,False
2018-02-18,93,False
2018-02-25,93,False
2018-03-04,99,False
2018-03-11,98,False
2018-03-18,89,False
2018-03-25,97,False
2018-04-01,97,False
2018-04-08,96,False
2018-04-15,95,False
2018-04-22,97,False
2018-04-29,96,False
2018-05-06,97,False
2018-05-13,89,False
2018-05-20,91,False
2018-05-27,89,False
2018-06-03,93,False
2018-06-10,90,False
2018-06-17,94,False
2018-06-24,94,False
2018-07-01,92,False
2018-07-08,94,False
2018-07-15,97,False
2018-07-22,98,False
2018-07-29,93,False
2018-08-05,88,False
2018-08-12,96,False
2018-08-19,98,False
2018-08-26,97,False
2018-09-02,90,False
2018-09-09,90,False
2018-09-16,86,False
2018-09-23,88,False
2018-09-30,83,False
2018-10-07,88,False
2018-10-14,84,False
2018-10-21,81,False
2018-10-28,85,False
2018-11-04,85,False
2018-11-11,90,False
2018-11-18,85,False
2018-11-25,83,False
2018-12-02,86,False
2018-12-09,79,False
2018-12-16,83,False
2018-12-23,95,False
2018-12-30,95,False
2019-01-06,84,False
2019-01-13,82,False
2019-01-20,86,False
2019-01-27,81,False
2019-02-03,78,False
2019-02-10,78,False
2019-02-17,80,False
2019-02-24,84,False
2019-03-03,82,False
2019-03-10,88,False
2019-03-17,87,False
2019-03-24,92,False
2019-03-31,83,False
2019-04-07,87,False
2019-04-14,85,False
2019-04-21,86,False
2019-04-28,81,False
2019-05-05,78,False
2019-05-12,81,False
2019-05-19,90,False
2019-05-26,83,False
2019-06-02,87,False
2019-06-09,90,False
2019-06-16,93,False
2019-06-23,87,False
2019-06-30,92,False
2019-07-07,84,False
2019-07-14,85,False
2019-07-21,86,False
2019-07-28,87,False
2019-08-04,92,False
2019-08-11,95,False
2019-08-18,91,False
2019-08-25,86,False
2019-09-01,84,False
2019-09-08,86,False
2019-09-15,78,False
2019-09-22,83,False
2019-09-29,87,False
2019-10-06,86,False
2019-10-13,80,False
2019-10-20,78,False
2019-10-27,76,False
2019-11-03,75,False
2019-11-10,80,False
2019-11-17,77,False
2019-11-24,74,False
2019-12-01,82,False
2019-12-08,81,False
2019-12-15,78,False
2019-12-22,92,False
2019-12-29,92,False
2020-01-05,85,False
2020-01-12,76,False
2020-01-19,74,False
2020-01-26,74,False
2020-02-02,71,False
2020-02-09,79,False
2020-02-16,76,False
2020-02-23,72,False
2020-03-01,74,False
2020-03-08,68,False
2020-03-15,80,False
2020-03-22,76,False
2020-03-29,78,False
2020-04-05,79,False
2020-04-12,87,False
2020-04-19,86,False
2020-04-26,75,True
