geoName,geoCode,Linoleumboden
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,63
Berlin,DE-BE,54
Brandenburg,DE-BB,49
Bremen,DE-HB,0
Hamburg,DE-HH,67
Hesse,DE-HE,56
Lower Saxony,DE-NI,23
Mecklenburg-Vorpommern,DE-MV,81
North Rhine-Westphalia,DE-NW,80
Rhineland-Palatinate,DE-RP,90
Saarland,DE-SL,0
Saxony,DE-SN,68
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,96
Thuringia,DE-TH,60
