geoName,geoCode,Malermeister
Baden-Württemberg,DE-BW,19
Bavaria,DE-BY,34
Berlin,DE-BE,42
Brandenburg,DE-BB,84
Bremen,DE-HB,37
Hamburg,DE-HH,22
Hesse,DE-HE,34
Lower Saxony,DE-NI,59
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,42
Saxony,DE-SN,56
Saxony-Anhalt,DE-ST,32
Schleswig-Holstein,DE-SH,56
Thuringia,DE-TH,59
