geoName,geoCode,pettinature
Abruzzo,IT-65,25
Aosta,IT-23,0
Apulia,IT-75,35
Basilicata,IT-77,38
Calabria,IT-78,26
Campania,IT-72,90
Emilia-Romagna,IT-45,49
Friuli-Venezia Giulia,IT-36,30
Lazio,IT-62,43
Liguria,IT-42,100
Lombardy,IT-25,70
Marche,IT-57,15
Molise,IT-67,95
Piedmont,IT-21,57
Sardinia,IT-88,55
Sicily,IT-82,13
Trentino-Alto Adige/South Tyrol,IT-32,89
Tuscany,IT-52,35
Umbria,IT-55,18
Veneto,IT-34,83
