geoName,geoCode,Kochkurs
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,69
Berlin,DE-BE,59
Brandenburg,DE-BB,43
Bremen,DE-HB,52
Hamburg,DE-HH,100
Hesse,DE-HE,49
Lower Saxony,DE-NI,49
Mecklenburg-Vorpommern,DE-MV,34
North Rhine-Westphalia,DE-NW,54
Rhineland-Palatinate,DE-RP,57
Saarland,DE-SL,25
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,28
Schleswig-Holstein,DE-SH,28
Thuringia,DE-TH,28
