geoName,geoCode,film sposi
Abruzzo,IT-65,33
Aosta,IT-23,0
Apulia,IT-75,69
Basilicata,IT-77,100
Calabria,IT-78,37
Campania,IT-72,93
Emilia-Romagna,IT-45,60
Friuli-Venezia Giulia,IT-36,21
Lazio,IT-62,48
Liguria,IT-42,25
Lombardy,IT-25,45
Marche,IT-57,34
Molise,IT-67,0
Piedmont,IT-21,59
Sardinia,IT-88,71
Sicily,IT-82,90
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,59
Umbria,IT-55,81
Veneto,IT-34,42
