geoName,geoCode,entretien climatisation
Brittany,FR-E,84.21052631578947
Centre-Val de Loire,FR-F,55.26315789473685
Corsica,FR-H,0.0
Pays de la Loire,FR-R,44.73684210526316
Provence-Alpes-Côte d'Azur,FR-U,94.73684210526315
Île-de-France,FR-J,40.78947368421053
Grand-est,FR-GE,61.8421052631579
Hauts-de-france,FR-HF,15.131578947368421
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,19.078947368421055
Nouvelle-Aquitaine,FR-NA,71.05263157894737
Occitanie,FR-OC,100.0
Auvergne-Rhône-Alpes,FR-AR,46.05263157894737
