date,Service Waschmaschine,isPartial
2018-01-07,66,False
2018-01-14,71,False
2018-01-21,47,False
2018-01-28,41,False
2018-02-04,30,False
2018-02-11,61,False
2018-02-18,55,False
2018-02-25,54,False
2018-03-04,45,False
2018-03-11,42,False
2018-03-18,54,False
2018-03-25,64,False
2018-04-01,87,False
2018-04-08,37,False
2018-04-15,47,False
2018-04-22,45,False
2018-04-29,44,False
2018-05-06,19,False
2018-05-13,18,False
2018-05-20,26,False
2018-05-27,43,False
2018-06-03,37,False
2018-06-10,41,False
2018-06-17,42,False
2018-06-24,55,False
2018-07-01,54,False
2018-07-08,30,False
2018-07-15,44,False
2018-07-22,56,False
2018-07-29,44,False
2018-08-05,25,False
2018-08-12,44,False
2018-08-19,44,False
2018-08-26,37,False
2018-09-02,67,False
2018-09-09,55,False
2018-09-16,49,False
2018-09-23,43,False
2018-09-30,36,False
2018-10-07,73,False
2018-10-14,45,False
2018-10-21,48,False
2018-10-28,18,False
2018-11-04,35,False
2018-11-11,30,False
2018-11-18,69,False
2018-11-25,29,False
2018-12-02,41,False
2018-12-09,53,False
2018-12-16,42,False
2018-12-23,42,False
2018-12-30,100,False
2019-01-06,22,False
2019-01-13,33,False
2019-01-20,27,False
2019-01-27,39,False
2019-02-03,45,False
2019-02-10,34,False
2019-02-17,40,False
2019-02-24,41,False
2019-03-03,50,False
2019-03-10,56,False
2019-03-17,26,False
2019-03-24,46,False
2019-03-31,58,False
2019-04-07,34,False
2019-04-14,38,False
2019-04-21,18,False
2019-04-28,34,False
2019-05-05,17,False
2019-05-12,40,False
2019-05-19,68,False
2019-05-26,59,False
2019-06-02,51,False
2019-06-09,58,False
2019-06-16,62,False
2019-06-23,76,False
2019-06-30,40,False
2019-07-07,60,False
2019-07-14,54,False
2019-07-21,50,False
2019-07-28,36,False
2019-08-04,18,False
2019-08-11,64,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,45,False
2019-09-08,40,False
2019-09-15,29,False
2019-09-22,45,False
2019-09-29,45,False
2019-10-06,33,False
2019-10-13,39,False
2019-10-20,25,False
2019-10-27,33,False
2019-11-03,37,False
2019-11-10,43,False
2019-11-17,37,False
2019-11-24,63,False
2019-12-01,48,False
2019-12-08,54,False
2019-12-15,71,False
2019-12-22,44,False
2019-12-29,52,False
2020-01-05,52,False
2020-01-12,35,False
2020-01-19,46,False
2020-01-26,50,False
2020-02-02,23,False
2020-02-09,25,False
2020-02-16,41,False
2020-02-23,20,False
2020-03-01,45,False
2020-03-08,49,False
2020-03-15,23,False
2020-03-22,34,False
2020-03-29,45,False
2020-04-05,40,False
2020-04-12,33,False
2020-04-19,37,False
2020-04-26,27,False
2020-05-03,37,False
2020-05-10,49,False
