geoName,geoCode,ilusionista
Andalusia,ES-AN,48
Aragon,ES-AR,46
Asturias,ES-AS,56
Balearic Islands,ES-IB,74
Basque Country,ES-PV,61
Canary Islands,ES-CN,16
Cantabria,ES-CB,50
Castile and León,ES-CL,25
Castile-La Mancha,ES-CM,24
Catalonia,ES-CT,52
Ceuta,ES-CE,0
Community of Madrid,ES-MD,51
Extremadura,ES-EX,33
Galicia,ES-GA,80
La Rioja,ES-RI,100
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,45
Valencian Community,ES-VC,30
