geoName,geoCode,Sicherheitstechnik
Burgenland,AT-1,0
Carinthia,AT-2,70
Lower Austria,AT-3,66
Salzburg,AT-5,100
Styria,AT-6,51
Tyrol,AT-7,80
Upper Austria,AT-4,78
Vienna,AT-9,55
Vorarlberg,AT-8,90
