geoName,geoCode,Elektrotechnik
Burgenland,AT-1,78
Carinthia,AT-2,88
Lower Austria,AT-3,71
Salzburg,AT-5,76
Styria,AT-6,81
Tyrol,AT-7,64
Upper Austria,AT-4,100
Vienna,AT-9,70
Vorarlberg,AT-8,95
