geoName,geoCode,ricette torte
Abruzzo,IT-65,70
Aosta,IT-23,0
Apulia,IT-75,66
Basilicata,IT-77,29
Calabria,IT-78,65
Campania,IT-72,45
Emilia-Romagna,IT-45,82
Friuli-Venezia Giulia,IT-36,79
Lazio,IT-62,55
Liguria,IT-42,66
Lombardy,IT-25,91
Marche,IT-57,53
Molise,IT-67,25
Piedmont,IT-21,100
Sardinia,IT-88,78
Sicily,IT-82,69
Trentino-Alto Adige/South Tyrol,IT-32,53
Tuscany,IT-52,61
Umbria,IT-55,50
Veneto,IT-34,84
