date,gemelli camicia,isPartial
2018-01-07,19,False
2018-01-14,51,False
2018-01-21,19,False
2018-01-28,37,False
2018-02-04,43,False
2018-02-11,75,False
2018-02-18,85,False
2018-02-25,36,False
2018-03-04,42,False
2018-03-11,43,False
2018-03-18,62,False
2018-03-25,46,False
2018-04-01,87,False
2018-04-08,75,False
2018-04-15,64,False
2018-04-22,66,False
2018-04-29,57,False
2018-05-06,93,False
2018-05-13,62,False
2018-05-20,69,False
2018-05-27,32,False
2018-06-03,70,False
2018-06-10,42,False
2018-06-17,94,False
2018-06-24,69,False
2018-07-01,75,False
2018-07-08,100,False
2018-07-15,70,False
2018-07-22,45,False
2018-07-29,32,False
2018-08-05,40,False
2018-08-12,43,False
2018-08-19,28,False
2018-08-26,71,False
2018-09-02,91,False
2018-09-09,61,False
2018-09-16,54,False
2018-09-23,74,False
2018-09-30,55,False
2018-10-07,44,False
2018-10-14,38,False
2018-10-21,19,False
2018-10-28,31,False
2018-11-04,48,False
2018-11-11,44,False
2018-11-18,31,False
2018-11-25,19,False
2018-12-02,63,False
2018-12-09,44,False
2018-12-16,85,False
2018-12-23,30,False
2018-12-30,61,False
2019-01-06,56,False
2019-01-13,43,False
2019-01-20,47,False
2019-01-27,46,False
2019-02-03,53,False
2019-02-10,36,False
2019-02-17,49,False
2019-02-24,24,False
2019-03-03,13,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,75,False
2019-03-31,68,False
2019-04-07,67,False
2019-04-14,25,False
2019-04-21,93,False
2019-04-28,37,False
2019-05-05,53,False
2019-05-12,53,False
2019-05-19,41,False
2019-05-26,74,False
2019-06-02,55,False
2019-06-09,80,False
2019-06-16,43,False
2019-06-23,70,False
2019-06-30,32,False
2019-07-07,72,False
2019-07-14,56,False
2019-07-21,51,False
2019-07-28,45,False
2019-08-04,46,False
2019-08-11,35,False
2019-08-18,20,False
2019-08-25,54,False
2019-09-01,51,False
2019-09-08,24,False
2019-09-15,46,False
2019-09-22,46,False
2019-09-29,23,False
2019-10-06,29,False
2019-10-13,52,False
2019-10-20,17,False
2019-10-27,51,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,50,False
2019-11-24,39,False
2019-12-01,59,False
2019-12-08,35,False
2019-12-15,41,False
2019-12-22,67,False
2019-12-29,58,False
2020-01-05,34,False
2020-01-12,48,False
2020-01-19,22,False
2020-01-26,32,False
2020-02-02,69,False
2020-02-09,55,False
2020-02-16,49,False
2020-02-23,15,False
2020-03-01,41,False
2020-03-08,10,False
2020-03-15,15,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,15,False
2020-04-12,15,False
2020-04-19,19,False
2020-04-26,16,True
