geoName,geoCode,location matrimoni
Abruzzo,IT-65,33
Aosta,IT-23,0
Apulia,IT-75,69
Basilicata,IT-77,0
Calabria,IT-78,41
Campania,IT-72,60
Emilia-Romagna,IT-45,58
Friuli-Venezia Giulia,IT-36,94
Lazio,IT-62,97
Liguria,IT-42,100
Lombardy,IT-25,69
Marche,IT-57,64
Molise,IT-67,0
Piedmont,IT-21,62
Sardinia,IT-88,40
Sicily,IT-82,50
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,83
Umbria,IT-55,96
Veneto,IT-34,81
