geoName,geoCode,Fliesenleger
Baden-Württemberg,DE-BW,64
Bavaria,DE-BY,51
Berlin,DE-BE,35
Brandenburg,DE-BB,75
Bremen,DE-HB,40
Hamburg,DE-HH,51
Hesse,DE-HE,49
Lower Saxony,DE-NI,56
Mecklenburg-Vorpommern,DE-MV,82
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,60
Saarland,DE-SL,100
Saxony,DE-SN,65
Saxony-Anhalt,DE-ST,78
Schleswig-Holstein,DE-SH,71
Thuringia,DE-TH,89
