geoName,geoCode,pranzo
Abruzzo,IT-65,91
Aosta,IT-23,63
Apulia,IT-75,96
Basilicata,IT-77,100
Calabria,IT-78,72
Campania,IT-72,89
Emilia-Romagna,IT-45,75
Friuli-Venezia Giulia,IT-36,70
Lazio,IT-62,89
Liguria,IT-42,76
Lombardy,IT-25,78
Marche,IT-57,76
Molise,IT-67,94
Piedmont,IT-21,79
Sardinia,IT-88,78
Sicily,IT-82,83
Trentino-Alto Adige/South Tyrol,IT-32,66
Tuscany,IT-52,81
Umbria,IT-55,84
Veneto,IT-34,75
