geoName,geoCode,Glasbruch
Baden-Württemberg,DE-BW,43
Bavaria,DE-BY,36
Berlin,DE-BE,30
Brandenburg,DE-BB,36
Bremen,DE-HB,0
Hamburg,DE-HH,49
Hesse,DE-HE,38
Lower Saxony,DE-NI,38
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,51
Rhineland-Palatinate,DE-RP,43
Saarland,DE-SL,0
Saxony,DE-SN,40
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,53
Thuringia,DE-TH,33
