geoName,geoCode,Gartentor
Baden-Württemberg,DE-BW,57
Bavaria,DE-BY,58
Berlin,DE-BE,42
Brandenburg,DE-BB,89
Bremen,DE-HB,35
Hamburg,DE-HH,52
Hesse,DE-HE,46
Lower Saxony,DE-NI,85
Mecklenburg-Vorpommern,DE-MV,88
North Rhine-Westphalia,DE-NW,68
Rhineland-Palatinate,DE-RP,66
Saarland,DE-SL,100
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,57
Schleswig-Holstein,DE-SH,85
Thuringia,DE-TH,70
