geoName,geoCode,acconciature capelli
Abruzzo,IT-65,61
Aosta,IT-23,0
Apulia,IT-75,41
Basilicata,IT-77,79
Calabria,IT-78,49
Campania,IT-72,46
Emilia-Romagna,IT-45,39
Friuli-Venezia Giulia,IT-36,25
Lazio,IT-62,35
Liguria,IT-42,30
Lombardy,IT-25,38
Marche,IT-57,33
Molise,IT-67,100
Piedmont,IT-21,30
Sardinia,IT-88,42
Sicily,IT-82,70
Trentino-Alto Adige/South Tyrol,IT-32,18
Tuscany,IT-52,35
Umbria,IT-55,52
Veneto,IT-34,42
