geoName,geoCode,Steinfiguren
Baden-Württemberg,DE-BW,57
Bavaria,DE-BY,59
Berlin,DE-BE,19
Brandenburg,DE-BB,41
Bremen,DE-HB,0
Hamburg,DE-HH,28
Hesse,DE-HE,35
Lower Saxony,DE-NI,47
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,63
Rhineland-Palatinate,DE-RP,80
Saarland,DE-SL,69
Saxony,DE-SN,67
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,78
Thuringia,DE-TH,63
