tag_id,kwd_id,tag,keyword
1.0,1.0-1,Massagetechniken lernen,Massagekurse
2.0,2.0-1,Gartenpflege lernen,Gartenkurse
3.0,3.0-1,Gebäudereinigung und -wartung,Gebäudereinigung
3.0,3.0-2,Gebäudereinigung und -wartung,Reinigungskraft
3.0,3.0-3,Gebäudereinigung und -wartung,Reinigungsfirma
3.0,3.0-4,Gebäudereinigung und -wartung,Büroreinigung
3.0,3.0-5,Gebäudereinigung und -wartung,Hausmeisterservice
3.0,3.0-6,Gebäudereinigung und -wartung,Hausmeister
3.0,3.0-7,Gebäudereinigung und -wartung,Unterhaltsreinigung
3.0,3.0-8,Gebäudereinigung und -wartung,Facility Management
3.0,3.0-9,Gebäudereinigung und -wartung,Hausmeisterdienste
3.0,3.0-10,Gebäudereinigung und -wartung,Reinigungsservice
3.0,3.0-11,Gebäudereinigung und -wartung,Baureinigung
3.0,3.0-12,Gebäudereinigung und -wartung,Putzkraft
3.0,3.0-13,Gebäudereinigung und -wartung,Grundreinigung
3.0,3.0-14,Gebäudereinigung und -wartung,Gebäudereinigungsfirmen
3.0,3.0-15,Gebäudereinigung und -wartung,Wohnungsreinigung
3.0,3.0-16,Gebäudereinigung und -wartung,Putzservice
3.0,3.0-17,Gebäudereinigung und -wartung,Trockeneisstrahlen und Eisstrahlen
3.0,3.0-18,Gebäudereinigung und -wartung,Trockeneisstrahlen
3.0,3.0-19,Gebäudereinigung und -wartung,Eisstrahlen
3.0,3.0-20,Gebäudereinigung und -wartung,Trockeneisreinigung
3.0,3.0-21,Gebäudereinigung und -wartung,Trockeneisreinigung Auto
3.0,3.0-22,Gebäudereinigung und -wartung,Trockeneisstrahlen Oldtimer
3.0,3.0-23,Gebäudereinigung und -wartung,Trockeneis reinigen
3.0,3.0-24,Gebäudereinigung und -wartung,Trockeneisstrahlen Auto
3.0,3.0-25,Gebäudereinigung und -wartung,Motor Trockeneisstrahlen
3.0,3.0-26,Gebäudereinigung und -wartung,Unterboden Trockeneisstrahlen
3.0,3.0-27,Gebäudereinigung und -wartung,Trockeneisstrahlen Holz
3.0,3.0-28,Gebäudereinigung und -wartung,Trockeneisstrahlen Unterboden
3.0,3.0-29,Gebäudereinigung und -wartung,Trockeneis reinigen Auto
3.0,3.0-30,Gebäudereinigung und -wartung,Unterboden Eisstrahlen
3.0,3.0-31,Gebäudereinigung und -wartung,Eisstrahl
3.0,3.0-32,Gebäudereinigung und -wartung,Reinigung mit Trockeneis
3.0,3.0-33,Gebäudereinigung und -wartung,Eis Strahlen
3.0,3.0-34,Gebäudereinigung und -wartung,Trockeneis Motorwäsche
3.0,3.0-35,Gebäudereinigung und -wartung,Motorwäsche mit Trockeneis
3.0,3.0-36,Gebäudereinigung und -wartung,Entsorgung
3.0,3.0-37,Gebäudereinigung und -wartung,Recyclinghof
3.0,3.0-38,Gebäudereinigung und -wartung,Müllentsorgung
