date,Parkettschleifmaschine,isPartial
2018-01-07,30,False
2018-01-14,20,False
2018-01-21,46,False
2018-01-28,26,False
2018-02-04,60,False
2018-02-11,100,False
2018-02-18,27,False
2018-02-25,40,False
2018-03-04,30,False
2018-03-11,46,False
2018-03-18,53,False
2018-03-25,32,False
2018-04-01,43,False
2018-04-08,41,False
2018-04-15,21,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,42,False
2018-05-13,80,False
2018-05-20,21,False
2018-05-27,31,False
2018-06-03,61,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,51,False
2018-07-01,40,False
2018-07-08,30,False
2018-07-15,41,False
2018-07-22,42,False
2018-07-29,41,False
2018-08-05,51,False
2018-08-12,52,False
2018-08-19,21,False
2018-08-26,41,False
2018-09-02,41,False
2018-09-09,30,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,67,False
2018-10-07,33,False
2018-10-14,47,False
2018-10-21,53,False
2018-10-28,33,False
2018-11-04,29,False
2018-11-11,20,False
2018-11-18,47,False
2018-11-25,52,False
2018-12-02,19,False
2018-12-09,98,False
2018-12-16,30,False
2018-12-23,46,False
2018-12-30,21,False
2019-01-06,43,False
2019-01-13,37,False
2019-01-20,30,False
2019-01-27,24,False
2019-02-03,50,False
2019-02-10,57,False
2019-02-17,47,False
2019-02-24,39,False
2019-03-03,47,False
2019-03-10,37,False
2019-03-17,29,False
2019-03-24,26,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,42,False
2019-04-21,54,False
2019-04-28,38,False
2019-05-05,19,False
2019-05-12,38,False
2019-05-19,57,False
2019-05-26,29,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,39,False
2019-06-23,48,False
2019-06-30,29,False
2019-07-07,75,False
2019-07-14,53,False
2019-07-21,21,False
2019-07-28,30,False
2019-08-04,27,False
2019-08-11,29,False
2019-08-18,39,False
2019-08-25,51,False
2019-09-01,50,False
2019-09-08,32,False
2019-09-15,51,False
2019-09-22,55,False
2019-09-29,37,False
2019-10-06,18,False
2019-10-13,24,False
2019-10-20,49,False
2019-10-27,36,False
2019-11-03,52,False
2019-11-10,35,False
2019-11-17,41,False
2019-11-24,29,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,18,False
2019-12-22,62,False
2019-12-29,29,False
2020-01-05,43,False
2020-01-12,44,False
2020-01-19,42,False
2020-01-26,28,False
2020-02-02,17,False
2020-02-09,33,False
2020-02-16,43,False
2020-02-23,41,False
2020-03-01,49,False
2020-03-08,52,False
2020-03-15,40,False
2020-03-22,45,False
2020-03-29,65,False
2020-04-05,55,False
2020-04-12,69,False
2020-04-19,51,False
2020-04-26,65,False
2020-05-03,51,False
2020-05-10,61,False
