geoName,geoCode,Baufirma
Baden-Württemberg,DE-BW,48
Bavaria,DE-BY,78
Berlin,DE-BE,44
Brandenburg,DE-BB,96
Bremen,DE-HB,37
Hamburg,DE-HH,23
Hesse,DE-HE,53
Lower Saxony,DE-NI,36
Mecklenburg-Vorpommern,DE-MV,60
North Rhine-Westphalia,DE-NW,27
Rhineland-Palatinate,DE-RP,61
Saarland,DE-SL,43
Saxony,DE-SN,99
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,63
Thuringia,DE-TH,87
