geoName,geoCode,abiti cerimonia
Abruzzo,IT-65,53
Aosta,IT-23,35
Apulia,IT-75,69
Basilicata,IT-77,61
Calabria,IT-78,71
Campania,IT-72,67
Emilia-Romagna,IT-45,37
Friuli-Venezia Giulia,IT-36,37
Lazio,IT-62,54
Liguria,IT-42,27
Lombardy,IT-25,40
Marche,IT-57,50
Molise,IT-67,72
Piedmont,IT-21,41
Sardinia,IT-88,54
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,26
Tuscany,IT-52,39
Umbria,IT-55,28
Veneto,IT-34,32
