geoName,geoCode,installateur store banne
Brittany,FR-E,
Centre-Val de Loire,FR-F,
Corsica,FR-H,
Pays de la Loire,FR-R,
Provence-Alpes-Côte d'Azur,FR-U,
Île-de-France,FR-J,
Grand-est,FR-GE,
Hauts-de-france,FR-HF,
Normandie,FR-NO,
Bourgogne-Franche-Comté,FR-BFC,
Nouvelle-Aquitaine,FR-NA,
Occitanie,FR-OC,
Auvergne-Rhône-Alpes,FR-AR,
