geoName,geoCode,Entrümpelung
Baden-Württemberg,DE-BW,27
Bavaria,DE-BY,30
Berlin,DE-BE,37
Brandenburg,DE-BB,100
Bremen,DE-HB,43
Hamburg,DE-HH,31
Hesse,DE-HE,32
Lower Saxony,DE-NI,29
Mecklenburg-Vorpommern,DE-MV,12
North Rhine-Westphalia,DE-NW,39
Rhineland-Palatinate,DE-RP,38
Saarland,DE-SL,34
Saxony,DE-SN,12
Saxony-Anhalt,DE-ST,29
Schleswig-Holstein,DE-SH,37
Thuringia,DE-TH,34
