geoName,geoCode,Holzhaus
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,85
Berlin,DE-BE,61
Brandenburg,DE-BB,87
Bremen,DE-HB,47
Hamburg,DE-HH,54
Hesse,DE-HE,57
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,49
Rhineland-Palatinate,DE-RP,60
Saarland,DE-SL,90
Saxony,DE-SN,87
Saxony-Anhalt,DE-ST,89
Schleswig-Holstein,DE-SH,96
Thuringia,DE-TH,93
