geoName,geoCode,Holzhaus
Burgenland,AT-1,81
Carinthia,AT-2,63
Lower Austria,AT-3,85
Salzburg,AT-5,46
Styria,AT-6,53
Tyrol,AT-7,58
Upper Austria,AT-4,100
Vienna,AT-9,41
Vorarlberg,AT-8,25
