geoName,geoCode,Müllentsorgung
Baden-Württemberg,DE-BW,48
Bavaria,DE-BY,46
Berlin,DE-BE,36
Brandenburg,DE-BB,96
Bremen,DE-HB,89
Hamburg,DE-HH,47
Hesse,DE-HE,62
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,87
North Rhine-Westphalia,DE-NW,73
Rhineland-Palatinate,DE-RP,64
Saarland,DE-SL,72
Saxony,DE-SN,83
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,73
Thuringia,DE-TH,95
