date,Gebäudereinigung und -wartung,isPartial
2018-01-07,76,False
2018-01-14,56,False
2018-01-21,36,False
2018-01-28,61,False
2018-02-04,79,False
2018-02-11,42,False
2018-02-18,36,False
2018-02-25,31,False
2018-03-04,26,False
2018-03-11,41,False
2018-03-18,78,False
2018-03-25,77,False
2018-04-01,39,False
2018-04-08,48,False
2018-04-15,65,False
2018-04-22,63,False
2018-04-29,38,False
2018-05-06,27,False
2018-05-13,52,False
2018-05-20,44,False
2018-05-27,43,False
2018-06-03,53,False
2018-06-10,76,False
2018-06-17,66,False
2018-06-24,42,False
2018-07-01,42,False
2018-07-08,46,False
2018-07-15,27,False
2018-07-22,22,False
2018-07-29,27,False
2018-08-05,69,False
2018-08-12,54,False
2018-08-19,81,False
2018-08-26,53,False
2018-09-02,58,False
2018-09-09,42,False
2018-09-16,42,False
2018-09-23,64,False
2018-09-30,37,False
2018-10-07,74,False
2018-10-14,37,False
2018-10-21,67,False
2018-10-28,46,False
2018-11-04,30,False
2018-11-11,56,False
2018-11-18,30,False
2018-11-25,40,False
2018-12-02,35,False
2018-12-09,61,False
2018-12-16,63,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,34,False
2019-01-13,38,False
2019-01-20,66,False
2019-01-27,28,False
2019-02-03,48,False
2019-02-10,25,False
2019-02-17,84,False
2019-02-24,51,False
2019-03-03,34,False
2019-03-10,48,False
2019-03-17,66,False
2019-03-24,35,False
2019-03-31,35,False
2019-04-07,44,False
2019-04-14,60,False
2019-04-21,42,False
2019-04-28,44,False
2019-05-05,67,False
2019-05-12,65,False
2019-05-19,24,False
2019-05-26,40,False
2019-06-02,29,False
2019-06-09,56,False
2019-06-16,20,False
2019-06-23,30,False
2019-06-30,40,False
2019-07-07,49,False
2019-07-14,31,False
2019-07-21,38,False
2019-07-28,47,False
2019-08-04,26,False
2019-08-11,55,False
2019-08-18,41,False
2019-08-25,55,False
2019-09-01,24,False
2019-09-08,44,False
2019-09-15,100,False
2019-09-22,29,False
2019-09-29,53,False
2019-10-06,58,False
2019-10-13,62,False
2019-10-20,47,False
2019-10-27,51,False
2019-11-03,45,False
2019-11-10,41,False
2019-11-17,27,False
2019-11-24,72,False
2019-12-01,60,False
2019-12-08,79,False
2019-12-15,47,False
2019-12-22,32,False
2019-12-29,25,False
2020-01-05,35,False
2020-01-12,64,False
2020-01-19,75,False
2020-01-26,43,False
2020-02-02,70,False
2020-02-09,47,False
2020-02-16,53,False
2020-02-23,47,False
2020-03-01,47,False
2020-03-08,28,False
2020-03-15,52,False
2020-03-22,55,False
2020-03-29,47,False
2020-04-05,52,False
2020-04-12,33,False
2020-04-19,60,False
2020-04-26,23,False
2020-05-03,24,False
2020-05-10,71,False
