geoName,geoCode,camicie
Abruzzo,IT-65,80
Aosta,IT-23,64
Apulia,IT-75,74
Basilicata,IT-77,83
Calabria,IT-78,96
Campania,IT-72,66
Emilia-Romagna,IT-45,61
Friuli-Venezia Giulia,IT-36,75
Lazio,IT-62,71
Liguria,IT-42,61
Lombardy,IT-25,69
Marche,IT-57,69
Molise,IT-67,100
Piedmont,IT-21,67
Sardinia,IT-88,58
Sicily,IT-82,73
Trentino-Alto Adige/South Tyrol,IT-32,54
Tuscany,IT-52,53
Umbria,IT-55,89
Veneto,IT-34,85
