geoName,geoCode,Umzug
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,34
Berlin,DE-BE,29
Brandenburg,DE-BB,28
Bremen,DE-HB,32
Hamburg,DE-HH,33
Hesse,DE-HE,56
Lower Saxony,DE-NI,29
Mecklenburg-Vorpommern,DE-MV,27
North Rhine-Westphalia,DE-NW,35
Rhineland-Palatinate,DE-RP,62
Saarland,DE-SL,100
Saxony,DE-SN,34
Saxony-Anhalt,DE-ST,31
Schleswig-Holstein,DE-SH,28
Thuringia,DE-TH,32
