geoName,geoCode,réparation climatisation
Brittany,FR-E,0.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,0.0
Provence-Alpes-Côte d'Azur,FR-U,53.99999999999999
Île-de-France,FR-J,18.0
Grand-est,FR-GE,0.0
Hauts-de-france,FR-HF,0.0
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,49.49999999999999
Auvergne-Rhône-Alpes,FR-AR,19.499999999999996
