date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,0,18,45,18,18,False
2018-01-14,0,0,36,18,18,False
2018-01-21,17,17,41,0,17,False
2018-01-28,0,18,36,0,27,False
2018-02-04,17,35,43,17,34,False
2018-02-11,18,0,18,0,18,False
2018-02-18,18,18,18,36,18,False
2018-02-25,0,18,29,0,17,False
2018-03-04,18,18,18,0,27,False
2018-03-11,18,35,23,17,17,False
2018-03-18,18,0,35,18,0,False
2018-03-25,19,0,39,19,19,False
2018-04-01,0,18,28,37,18,False
2018-04-08,0,0,34,17,26,False
2018-04-15,0,18,30,0,36,False
2018-04-22,0,0,19,0,28,False
2018-04-29,0,0,30,18,18,False
2018-05-06,18,18,35,17,35,False
2018-05-13,0,0,45,18,18,False
2018-05-20,18,18,26,18,0,False
2018-05-27,0,0,35,17,23,False
2018-06-03,0,17,17,0,0,False
2018-06-10,17,0,17,35,17,False
2018-06-17,0,29,38,19,0,False
2018-06-24,19,19,19,19,39,False
2018-07-01,20,20,29,0,0,False
2018-07-08,0,19,48,0,29,False
2018-07-15,0,20,60,0,40,False
2018-07-22,0,20,20,0,20,False
2018-07-29,0,20,20,20,51,False
2018-08-05,0,0,20,0,20,False
2018-08-12,0,21,21,21,28,False
2018-08-19,0,0,40,0,40,False
2018-08-26,19,19,47,0,28,False
2018-09-02,18,0,36,0,18,False
2018-09-09,37,0,24,18,27,False
2018-09-16,18,18,55,18,36,False
2018-09-23,0,27,27,0,27,False
2018-09-30,0,45,24,0,0,False
2018-10-07,19,0,38,19,19,False
2018-10-14,0,35,26,0,17,False
2018-10-21,0,0,18,0,18,False
2018-10-28,0,0,18,0,0,False
2018-11-04,17,17,23,17,0,False
2018-11-11,18,26,26,0,18,False
2018-11-18,0,17,26,0,17,False
2018-11-25,18,18,36,0,18,False
2018-12-02,19,0,18,0,0,False
2018-12-09,0,27,27,0,18,False
2018-12-16,0,18,24,0,0,False
2018-12-23,0,20,30,20,20,False
2018-12-30,19,19,29,19,0,False
2019-01-06,0,0,53,17,0,False
2019-01-13,0,17,39,33,17,False
2019-01-20,0,16,40,32,24,False
2019-01-27,0,17,22,0,0,False
2019-02-03,0,35,35,0,17,False
2019-02-10,17,0,23,17,35,False
2019-02-17,0,0,29,17,17,False
2019-02-24,0,17,29,18,17,False
2019-03-03,18,18,54,18,18,False
2019-03-10,0,0,53,0,18,False
2019-03-17,18,18,42,18,18,False
2019-03-24,0,0,46,37,28,False
2019-03-31,0,18,18,17,23,False
2019-04-07,0,0,18,0,0,False
2019-04-14,0,39,19,0,19,False
2019-04-21,0,0,44,0,0,False
2019-04-28,17,17,26,0,17,False
2019-05-05,18,17,70,18,18,False
2019-05-12,0,0,23,17,0,False
2019-05-19,17,17,17,0,17,False
2019-05-26,17,0,34,0,17,False
2019-06-02,0,16,25,17,25,False
2019-06-09,0,17,17,0,17,False
2019-06-16,0,18,31,18,18,False
2019-06-23,0,19,56,0,19,False
2019-06-30,0,19,19,0,19,False
2019-07-07,19,19,38,0,28,False
2019-07-14,0,20,26,20,0,False
2019-07-21,0,0,40,0,20,False
2019-07-28,0,20,53,0,40,False
2019-08-04,0,20,30,0,0,False
2019-08-11,20,20,27,20,0,False
2019-08-18,18,18,43,0,36,False
2019-08-25,0,17,23,17,43,False
2019-09-01,0,17,34,0,34,False
2019-09-08,17,17,26,0,17,False
2019-09-15,26,17,45,0,17,False
2019-09-22,0,17,34,0,17,False
2019-09-29,0,17,17,0,34,False
2019-10-06,0,18,35,18,0,False
2019-10-13,0,16,40,16,32,False
2019-10-20,0,32,16,0,32,False
2019-10-27,0,16,16,16,16,False
2019-11-03,15,0,31,0,15,False
2019-11-10,15,15,26,15,23,False
2019-11-17,16,0,47,16,16,False
2019-11-24,0,15,15,0,15,False
2019-12-01,16,16,16,16,16,False
2019-12-08,16,16,33,0,16,False
2019-12-15,0,16,40,0,0,False
2019-12-22,0,34,17,0,17,False
2019-12-29,17,17,34,0,0,False
2020-01-05,24,0,69,16,21,False
2020-01-12,14,14,29,14,29,False
2020-01-19,14,22,24,0,14,False
2020-01-26,0,15,25,15,0,False
2020-02-02,15,15,23,0,15,False
2020-02-09,0,15,25,0,15,False
2020-02-16,15,0,30,15,23,False
2020-02-23,14,14,28,0,0,False
2020-03-01,0,14,19,14,14,False
2020-03-08,0,0,37,14,0,False
2020-03-15,26,0,13,0,0,False
2020-03-22,12,19,12,0,25,False
2020-03-29,0,16,0,12,12,False
2020-04-05,26,13,13,0,26,False
2020-04-12,0,13,25,0,13,False
2020-04-19,12,13,17,12,13,False
2020-04-26,12,13,0,0,12,False
2020-05-03,24,19,29,12,16,False
2020-05-10,12,12,19,0,25,False
2020-05-17,13,13,31,0,13,False
2020-05-24,0,13,22,0,13,False
2020-05-31,0,13,50,0,38,False
2020-06-07,13,13,39,0,0,False
2020-06-14,0,0,50,0,100,True
