date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,0,30,0,0,0,False
2018-01-14,30,0,0,0,0,False
2018-01-21,0,0,0,0,29,False
2018-01-28,30,0,30,0,0,False
2018-02-04,0,30,30,0,0,False
2018-02-11,0,0,31,0,0,False
2018-02-18,30,30,30,0,30,False
2018-02-25,0,30,30,0,30,False
2018-03-04,0,0,45,0,0,False
2018-03-11,0,0,30,0,29,False
2018-03-18,0,0,89,0,30,False
2018-03-25,0,34,56,0,0,False
2018-04-01,0,34,34,0,33,False
2018-04-08,0,0,58,0,29,False
2018-04-15,0,0,51,0,0,False
2018-04-22,29,30,44,0,0,False
2018-04-29,30,0,30,0,30,False
2018-05-06,29,29,0,0,29,False
2018-05-13,30,30,61,0,0,False
2018-05-20,0,0,30,0,0,False
2018-05-27,0,0,30,0,44,False
2018-06-03,0,30,40,0,30,False
2018-06-10,0,29,58,0,29,False
2018-06-17,0,0,0,0,33,False
2018-06-24,0,0,67,0,0,False
2018-07-01,0,34,0,0,0,False
2018-07-08,0,37,0,0,36,False
2018-07-15,0,35,0,0,0,False
2018-07-22,0,0,35,0,35,False
2018-07-29,0,0,34,0,45,False
2018-08-05,0,0,0,0,33,False
2018-08-12,35,0,35,0,35,False
2018-08-19,34,0,100,0,51,False
2018-08-26,0,0,54,0,33,False
2018-09-02,30,31,45,0,45,False
2018-09-09,30,0,31,0,30,False
2018-09-16,0,91,30,0,0,False
2018-09-23,0,0,45,0,30,False
2018-09-30,0,29,30,0,29,False
2018-10-07,0,31,62,0,0,False
2018-10-14,0,30,0,0,30,False
2018-10-21,0,30,45,0,30,False
2018-10-28,59,0,30,0,0,False
2018-11-04,28,0,0,0,0,False
2018-11-11,0,29,30,0,29,False
2018-11-18,0,0,57,0,0,False
2018-11-25,0,30,60,0,0,False
2018-12-02,0,0,64,0,0,False
2018-12-09,30,30,30,0,0,False
2018-12-16,0,0,45,0,30,False
2018-12-23,0,0,0,0,0,False
2018-12-30,0,0,34,0,34,False
2019-01-06,30,30,58,0,39,False
2019-01-13,28,55,56,0,28,False
2019-01-20,0,0,26,0,0,False
2019-01-27,0,0,27,0,27,False
2019-02-03,0,85,38,0,0,False
2019-02-10,0,0,43,0,28,False
2019-02-17,0,0,39,0,0,False
2019-02-24,0,0,29,0,0,False
2019-03-03,0,30,60,0,0,False
2019-03-10,0,29,29,0,0,False
2019-03-17,0,29,39,0,29,False
2019-03-24,0,0,30,0,29,False
2019-03-31,0,0,56,0,55,False
2019-04-07,0,0,43,0,29,False
2019-04-14,31,31,31,0,0,False
2019-04-21,0,0,31,0,0,False
2019-04-28,28,0,57,0,0,False
2019-05-05,28,0,28,0,0,False
2019-05-12,0,28,56,0,0,False
2019-05-19,0,27,27,0,55,False
2019-05-26,0,0,82,0,0,False
2019-06-02,0,0,0,0,0,False
2019-06-09,0,28,28,0,0,False
2019-06-16,29,0,44,0,29,False
2019-06-23,0,0,78,0,31,False
2019-06-30,0,0,32,0,32,False
2019-07-07,0,0,0,0,0,False
2019-07-14,0,33,33,0,33,False
2019-07-21,0,0,64,0,32,False
2019-07-28,33,32,33,0,65,False
2019-08-04,33,0,65,0,0,False
2019-08-11,0,0,0,0,33,False
2019-08-18,0,0,61,0,31,False
2019-08-25,0,0,0,0,29,False
2019-09-01,0,28,42,0,0,False
2019-09-08,0,28,42,0,28,False
2019-09-15,27,26,53,0,0,False
2019-09-22,0,27,68,0,54,False
2019-09-29,0,53,40,0,53,False
2019-10-06,0,26,0,0,26,False
2019-10-13,0,0,0,0,25,False
2019-10-20,0,25,26,0,25,False
2019-10-27,25,0,0,0,25,False
2019-11-03,0,32,36,0,0,False
2019-11-10,0,24,0,0,24,False
2019-11-17,0,0,25,0,25,False
2019-11-24,0,0,50,0,25,False
2019-12-01,0,0,28,0,0,False
2019-12-08,25,25,38,0,25,False
2019-12-15,0,26,34,0,26,False
2019-12-22,0,28,29,0,0,False
2019-12-29,0,0,29,0,28,False
2020-01-05,0,0,39,0,0,False
2020-01-12,23,0,46,0,0,False
2020-01-19,0,23,0,0,23,False
2020-01-26,0,24,36,0,0,False
2020-02-02,0,24,40,0,0,False
2020-02-09,24,0,48,0,24,False
2020-02-16,24,24,36,0,24,False
2020-02-23,0,24,23,0,0,False
2020-03-01,0,0,22,0,22,False
2020-03-08,21,0,22,0,0,False
2020-03-15,20,0,0,0,0,False
2020-03-22,0,0,19,0,50,False
2020-03-29,19,19,0,0,19,False
2020-04-05,20,20,20,0,20,False
2020-04-12,0,0,21,0,21,False
2020-04-19,19,19,19,0,19,False
2020-04-26,0,0,29,0,38,False
2020-05-03,0,19,32,0,0,False
2020-05-10,0,0,39,0,19,False
2020-05-17,0,21,49,0,21,False
2020-05-24,0,21,32,0,0,False
2020-05-31,20,19,39,0,0,False
2020-06-07,0,0,20,0,20,False
2020-06-14,0,0,75,0,0,True
