geoName,geoCode,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal
Andalusia,ES-AN,17,17,37,3,26
Aragon,ES-AR,13,10,41,3,33
Asturias,ES-AS,14,12,50,3,21
Balearic Islands,ES-IB,27,13,29,4,27
Basque Country,ES-PV,19,16,42,3,20
Canary Islands,ES-CN,18,19,35,3,25
Cantabria,ES-CB,15,17,47,0,21
Castile and León,ES-CL,15,16,39,4,26
Castile-La Mancha,ES-CM,11,15,39,4,31
Catalonia,ES-CT,14,14,41,5,26
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,16,16,34,5,29
Extremadura,ES-EX,22,15,40,0,23
Galicia,ES-GA,16,15,44,5,20
La Rioja,ES-RI,28,9,32,0,31
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,16,13,41,0,30
Region of Murcia,ES-MC,14,12,51,4,19
Valencian Community,ES-VC,17,11,41,4,27
