date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,26,26,52,26,26,False
2018-01-14,0,40,26,26,27,False
2018-01-21,52,39,53,0,52,False
2018-01-28,0,39,0,0,0,False
2018-02-04,0,0,42,0,25,False
2018-02-11,0,0,80,0,26,False
2018-02-18,0,27,0,0,40,False
2018-02-25,0,26,26,0,26,False
2018-03-04,26,26,26,0,0,False
2018-03-11,0,26,78,0,26,False
2018-03-18,0,26,39,25,51,False
2018-03-25,0,0,81,0,0,False
2018-04-01,0,0,27,0,27,False
2018-04-08,0,26,35,0,26,False
2018-04-15,53,0,27,40,26,False
2018-04-22,0,0,77,0,26,False
2018-04-29,52,0,39,52,0,False
2018-05-06,0,26,61,0,0,False
2018-05-13,0,0,53,0,40,False
2018-05-20,0,0,27,0,0,False
2018-05-27,0,0,42,0,25,False
2018-06-03,0,0,25,0,25,False
2018-06-10,24,24,41,0,24,False
2018-06-17,0,54,41,27,0,False
2018-06-24,0,27,27,27,27,False
2018-07-01,0,26,35,0,26,False
2018-07-08,26,0,35,0,0,False
2018-07-15,25,0,26,0,25,False
2018-07-22,26,26,26,0,26,False
2018-07-29,26,0,53,0,26,False
2018-08-05,0,25,51,0,0,False
2018-08-12,25,0,64,26,26,False
2018-08-19,26,0,51,0,76,False
2018-08-26,0,26,35,0,40,False
2018-09-02,51,0,76,0,25,False
2018-09-09,0,26,44,26,61,False
2018-09-16,0,79,40,0,39,False
2018-09-23,26,26,52,0,0,False
2018-09-30,0,26,26,26,26,False
2018-10-07,27,27,81,27,53,False
2018-10-14,26,26,52,26,26,False
2018-10-21,0,26,66,0,0,False
2018-10-28,27,0,27,0,27,False
2018-11-04,0,0,38,0,25,False
2018-11-11,26,26,78,0,26,False
2018-11-18,25,25,51,0,26,False
2018-11-25,26,26,52,0,0,False
2018-12-02,0,0,27,0,0,False
2018-12-09,0,53,53,26,26,False
2018-12-16,26,51,26,0,26,False
2018-12-23,0,0,29,0,29,False
2018-12-30,0,28,57,0,57,False
2019-01-06,26,52,35,0,26,False
2019-01-13,50,50,50,25,50,False
2019-01-20,0,35,24,23,24,False
2019-01-27,0,0,41,0,0,False
2019-02-03,0,26,26,0,26,False
2019-02-10,26,26,39,0,39,False
2019-02-17,0,26,35,0,0,False
2019-02-24,26,26,53,26,26,False
2019-03-03,26,0,52,0,26,False
2019-03-10,26,25,51,0,25,False
2019-03-17,26,0,39,26,34,False
2019-03-24,0,26,61,0,26,False
2019-03-31,0,25,63,25,25,False
2019-04-07,0,26,52,0,26,False
2019-04-14,0,27,0,26,27,False
2019-04-21,0,0,38,0,25,False
2019-04-28,0,0,59,0,0,False
2019-05-05,0,0,25,0,0,False
2019-05-12,0,0,51,25,25,False
2019-05-19,25,0,43,25,25,False
2019-05-26,0,25,63,0,25,False
2019-06-02,0,24,40,0,36,False
2019-06-09,0,25,25,0,0,False
2019-06-16,0,25,39,0,25,False
2019-06-23,0,0,51,25,25,False
2019-06-30,0,0,52,0,26,False
2019-07-07,0,0,39,0,26,False
2019-07-14,0,0,69,0,26,False
2019-07-21,0,25,33,25,25,False
2019-07-28,0,0,0,0,26,False
2019-08-04,0,0,65,0,0,False
2019-08-11,24,24,82,0,24,False
2019-08-18,0,0,32,0,40,False
2019-08-25,23,23,39,0,23,False
2019-09-01,0,24,37,0,24,False
2019-09-08,25,34,25,0,100,False
2019-09-15,24,24,48,0,60,False
2019-09-22,24,24,24,0,0,False
2019-09-29,0,36,24,0,36,False
2019-10-06,0,24,36,24,24,False
2019-10-13,23,23,23,0,31,False
2019-10-20,0,23,47,23,24,False
2019-10-27,23,23,31,23,0,False
2019-11-03,0,45,0,0,0,False
2019-11-10,22,34,68,0,23,False
2019-11-17,0,23,23,23,23,False
2019-11-24,22,0,45,0,22,False
2019-12-01,24,23,24,0,23,False
2019-12-08,0,0,24,0,24,False
2019-12-15,0,0,69,23,69,False
2019-12-22,0,24,49,0,0,False
2019-12-29,24,0,25,24,24,False
2020-01-05,0,23,23,0,23,False
2020-01-12,32,22,21,0,21,False
2020-01-19,22,22,52,0,22,False
2020-01-26,22,22,51,22,22,False
2020-02-02,0,22,37,22,0,False
2020-02-09,0,22,55,22,0,False
2020-02-16,0,22,37,0,22,False
2020-02-23,22,22,36,0,22,False
2020-03-01,21,21,42,41,41,False
2020-03-08,0,0,40,0,20,False
2020-03-15,19,0,20,0,0,False
2020-03-22,18,18,0,0,37,False
2020-03-29,0,0,19,0,18,False
2020-04-05,19,19,19,0,76,False
2020-04-12,19,19,19,0,37,False
2020-04-19,0,24,36,36,0,False
2020-04-26,18,18,18,0,27,False
2020-05-03,36,0,48,18,18,False
2020-05-10,19,19,38,0,37,False
2020-05-17,0,20,30,0,40,False
2020-05-24,0,0,40,0,20,False
2020-05-31,0,37,68,0,0,False
2020-06-07,0,0,37,0,25,False
2020-06-14,0,0,70,0,69,True
