date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,25,28,78,15,60,False
2018-01-14,20,13,63,11,35,False
2018-01-21,17,29,81,18,37,False
2018-01-28,17,12,50,19,32,False
2018-02-04,15,29,61,7,46,False
2018-02-11,19,22,60,11,32,False
2018-02-18,22,11,60,12,30,False
2018-02-25,14,24,29,14,22,False
2018-03-04,15,17,49,17,15,False
2018-03-11,10,15,52,15,51,False
2018-03-18,0,20,44,7,35,False
2018-03-25,12,11,55,14,53,False
2018-04-01,15,18,56,15,45,False
2018-04-08,9,21,47,11,30,False
2018-04-15,7,17,59,10,27,False
2018-04-22,7,18,42,7,32,False
2018-04-29,7,18,44,7,27,False
2018-05-06,14,25,51,7,28,False
2018-05-13,15,12,56,18,20,False
2018-05-20,15,30,52,12,22,False
2018-05-27,7,15,61,18,41,False
2018-06-03,25,14,47,24,28,False
2018-06-10,21,16,44,14,52,False
2018-06-17,13,15,51,10,30,False
2018-06-24,15,30,28,11,23,False
2018-07-01,7,22,72,7,37,False
2018-07-08,15,22,59,11,29,False
2018-07-15,7,20,30,15,45,False
2018-07-22,15,19,43,8,28,False
2018-07-29,31,10,39,0,31,False
2018-08-05,13,8,43,16,19,False
2018-08-12,8,14,49,8,30,False
2018-08-19,12,14,50,8,16,False
2018-08-26,19,20,54,15,51,False
2018-09-02,12,41,76,15,47,False
2018-09-09,10,35,48,11,33,False
2018-09-16,12,34,65,14,22,False
2018-09-23,14,39,58,7,34,False
2018-09-30,11,34,58,10,29,False
2018-10-07,15,42,65,22,32,False
2018-10-14,14,36,38,10,17,False
2018-10-21,15,22,44,7,22,False
2018-10-28,8,23,30,18,30,False
2018-11-04,12,27,36,15,24,False
2018-11-11,7,22,43,14,29,False
2018-11-18,11,36,57,14,26,False
2018-11-25,7,22,35,15,30,False
2018-12-02,13,23,31,16,34,False
2018-12-09,8,19,35,19,25,False
2018-12-16,8,20,25,13,13,False
2018-12-23,14,23,46,18,27,False
2018-12-30,11,11,82,17,42,False
2019-01-06,7,25,45,10,22,False
2019-01-13,12,19,56,19,36,False
2019-01-20,7,32,60,14,25,False
2019-01-27,18,22,69,11,31,False
2019-02-03,12,27,58,17,36,False
2019-02-10,26,12,51,12,36,False
2019-02-17,17,15,85,11,24,False
2019-02-24,22,17,36,7,29,False
2019-03-03,15,12,46,7,29,False
2019-03-10,7,27,68,0,34,False
2019-03-17,14,27,72,11,34,False
2019-03-24,7,7,68,15,44,False
2019-03-31,14,19,28,7,50,False
2019-04-07,11,22,60,11,14,False
2019-04-14,11,27,41,8,41,False
2019-04-21,17,14,77,7,41,False
2019-04-28,7,23,53,7,28,False
2019-05-05,7,14,54,14,51,False
2019-05-12,10,12,60,7,44,False
2019-05-19,0,18,50,16,20,False
2019-05-26,10,20,43,9,43,False
2019-06-02,14,18,75,14,23,False
2019-06-09,18,21,69,14,34,False
2019-06-16,12,9,78,14,26,False
2019-06-23,7,19,57,15,35,False
2019-06-30,7,29,58,11,33,False
2019-07-07,7,16,46,10,21,False
2019-07-14,14,25,36,7,36,False
2019-07-21,12,7,69,15,29,False
2019-07-28,8,10,72,15,33,False
2019-08-04,10,13,47,0,21,False
2019-08-11,16,20,53,8,19,False
2019-08-18,0,26,41,10,47,False
2019-08-25,7,27,82,12,46,False
2019-09-01,12,28,90,14,32,False
2019-09-08,20,32,77,7,43,False
2019-09-15,20,24,67,13,38,False
2019-09-22,13,22,85,7,18,False
2019-09-29,46,22,75,7,31,False
2019-10-06,16,22,41,6,39,False
2019-10-13,0,16,56,10,19,False
2019-10-20,15,19,71,13,17,False
2019-10-27,7,18,49,17,25,False
2019-11-03,11,15,68,20,17,False
2019-11-10,11,20,59,9,24,False
2019-11-17,7,20,46,7,31,False
2019-11-24,11,19,54,17,26,False
2019-12-01,7,17,34,16,25,False
2019-12-08,7,16,55,11,27,False
2019-12-15,7,13,29,10,22,False
2019-12-22,8,12,28,10,28,False
2019-12-29,18,17,66,17,25,False
2020-01-05,13,11,47,11,22,False
2020-01-12,19,23,73,10,37,False
2020-01-19,9,14,47,18,30,False
2020-01-26,6,29,81,15,40,False
2020-02-02,15,15,73,10,32,False
2020-02-09,13,24,58,13,49,False
2020-02-16,11,16,64,6,36,False
2020-02-23,16,19,64,9,35,False
2020-03-01,6,8,51,12,39,False
2020-03-08,16,18,59,6,20,False
2020-03-15,39,29,21,6,19,False
2020-03-22,27,17,29,6,29,False
2020-03-29,35,14,27,8,21,False
2020-04-05,22,19,29,12,14,False
2020-04-12,25,15,41,17,27,False
2020-04-19,20,15,48,8,35,False
2020-04-26,15,23,48,6,40,False
2020-05-03,11,17,45,6,39,False
2020-05-10,7,11,41,14,19,False
2020-05-17,9,12,60,12,37,False
2020-05-24,6,10,61,12,25,False
2020-05-31,14,11,61,6,38,False
2020-06-07,17,6,72,17,38,False
2020-06-14,43,21,100,22,43,True
