date,Lezioni di inglese,Personal trainer,Psicologo,Riparazione console videogiochi
2018-01-01,28.255275347400925,41.63664436438497,19.969119917653114,0.0
2018-02-01,21.873391662377767,27.225939269171384,19.505918682449817,0.0
2018-03-01,23.21152856407617,32.06381883685023,22.954194544518785,0.0
2018-04-01,16.160576428203807,28.461142563046838,20.123520329387546,0.0
2018-05-01,20.689655172413794,31.291816778178077,21.61605764282038,0.0
2018-06-01,15.028306742151312,23.93206381883685,15.800308800823467,0.0
2018-07-01,13.124034997426659,21.718991250643334,18.322182192485847,0.0
2018-08-01,20.38085434894493,29.027277406073082,13.63870303654143,0.0
2018-09-01,43.386515697375195,45.13638703036541,22.593926917138447,1.9557385486361298
2018-10-01,32.83582089552239,30.00514668039115,19.71178589809573,1.8528049408131755
2018-11-01,29.593412249099334,23.98353062274833,22.0277920741122,2.2130725681935153
2018-12-01,18.322182192485847,17.086978898610397,12.146165723108595,3.9114770972722597
2019-01-01,55.790015440041174,68.24498198661864,32.21821924858466,0.4117344312918168
2019-02-01,43.33504889346372,42.40864642305713,27.792074112197636,2.2645393721049922
2019-03-01,46.5259907359753,42.66598044261451,34.74009264024704,2.624806999485332
2019-04-01,42.51158003088008,36.12969634585692,29.130211013896034,3.4997426659804423
2019-05-01,45.599588265568705,55.2753474009264,46.062789500772,3.19094184251158
2019-06-01,32.68142048378795,41.17344312918168,37.72516726711272,4.5290787442099845
2019-07-01,29.953679876479672,37.3134328358209,43.84971693257849,3.654143077714874
2019-08-01,46.57745753988677,44.10705095213587,32.372619660319096,4.683479155944416
2019-09-01,100.0,52.39320638188369,55.73854863612969,6.227483273288729
2019-10-01,69.53165208440556,37.622233659289755,54.246011322696866,7.050952135872363
2019-11-01,52.547606793618115,36.07822954194545,59.238291302110134,6.1760164693772515
2019-12-01,31.18888317035512,23.26299536798765,25.218733916623776,4.632012352032939
2020-01-01,57.59135357694287,53.83427689140504,66.90684508492023,7.668553782810088
2020-02-01,39.88677303139475,41.43077714873906,57.436953165208436,4.323211528564077
2020-03-01,6.9994853319608845,21.976325270200718,28.461142563046838,6.896551724137931
2020-04-01,5.095213587236232,18.57951621204323,22.0277920741122,9.315491507977354
2020-05-01,5.198147195059187,20.58672156459084,10.396294390118374,12.352032938754503
2020-06-01,4.117344312918168,8.131755018013381,10.344827586206897,2.470406587750901
