date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,0,17,26,0,0,False
2018-01-14,18,0,18,0,18,False
2018-01-21,0,0,36,0,36,False
2018-01-28,18,0,27,0,18,False
2018-02-04,0,18,0,0,0,False
2018-02-11,0,0,19,0,19,False
2018-02-18,0,0,18,0,0,False
2018-02-25,0,17,17,0,0,False
2018-03-04,0,17,17,0,17,False
2018-03-11,0,17,16,0,0,False
2018-03-18,0,0,27,0,0,False
2018-03-25,0,0,38,0,0,False
2018-04-01,0,0,17,0,0,False
2018-04-08,0,17,25,0,0,False
2018-04-15,0,0,26,0,17,False
2018-04-22,18,0,17,0,18,False
2018-04-29,0,18,27,0,18,False
2018-05-06,0,18,36,0,18,False
2018-05-13,0,18,18,0,28,False
2018-05-20,0,0,18,0,0,False
2018-05-27,0,18,0,0,0,False
2018-06-03,18,0,26,0,34,False
2018-06-10,0,17,17,0,17,False
2018-06-17,0,19,19,0,0,False
2018-06-24,0,19,0,0,19,False
2018-07-01,0,38,25,0,19,False
2018-07-08,0,19,19,0,19,False
2018-07-15,0,0,20,0,0,False
2018-07-22,0,0,20,0,20,False
2018-07-29,0,0,31,0,19,False
2018-08-05,18,18,36,0,19,False
2018-08-12,19,18,19,0,38,False
2018-08-19,0,19,28,0,18,False
2018-08-26,19,0,19,0,0,False
2018-09-02,0,0,19,0,19,False
2018-09-09,0,19,38,0,29,False
2018-09-16,18,0,18,0,27,False
2018-09-23,0,18,18,0,18,False
2018-09-30,18,18,18,0,18,False
2018-10-07,18,18,0,0,0,False
2018-10-14,18,18,18,0,0,False
2018-10-21,18,18,0,0,0,False
2018-10-28,0,0,18,0,0,False
2018-11-04,0,17,17,0,17,False
2018-11-11,0,18,17,0,0,False
2018-11-18,0,16,17,0,16,False
2018-11-25,36,0,0,0,0,False
2018-12-02,0,19,19,0,0,False
2018-12-09,0,18,18,0,0,False
2018-12-16,0,18,26,0,18,False
2018-12-23,0,0,20,0,39,False
2018-12-30,0,0,26,0,19,False
2019-01-06,0,18,18,0,0,False
2019-01-13,25,17,17,0,0,False
2019-01-20,0,0,48,0,0,False
2019-01-27,0,0,17,0,0,False
2019-02-03,18,0,17,0,35,False
2019-02-10,17,17,0,0,0,False
2019-02-17,0,0,44,0,17,False
2019-02-24,0,18,18,0,18,False
2019-03-03,0,0,18,0,0,False
2019-03-10,18,18,42,0,0,False
2019-03-17,18,0,36,0,36,False
2019-03-24,0,0,27,0,36,False
2019-03-31,17,17,34,0,17,False
2019-04-07,0,0,18,0,18,False
2019-04-14,0,17,25,0,17,False
2019-04-21,0,0,17,0,0,False
2019-04-28,18,18,18,0,0,False
2019-05-05,0,0,23,0,17,False
2019-05-12,0,18,18,0,18,False
2019-05-19,0,0,18,0,0,False
2019-05-26,0,0,17,0,35,False
2019-06-02,17,17,17,0,26,False
2019-06-09,0,0,0,0,18,False
2019-06-16,0,18,18,0,18,False
2019-06-23,0,19,19,0,0,False
2019-06-30,0,0,19,0,19,False
2019-07-07,0,0,19,0,19,False
2019-07-14,0,0,19,0,0,False
2019-07-21,0,19,38,0,0,False
2019-07-28,19,19,19,0,38,False
2019-08-04,18,0,24,0,18,False
2019-08-11,0,0,0,0,18,False
2019-08-18,18,0,27,0,0,False
2019-08-25,0,0,35,0,35,False
2019-09-01,0,0,18,0,18,False
2019-09-08,0,18,37,0,27,False
2019-09-15,0,17,17,0,25,False
2019-09-22,17,0,25,0,17,False
2019-09-29,17,17,17,0,17,False
2019-10-06,17,17,42,0,17,False
2019-10-13,31,16,24,0,16,False
2019-10-20,16,0,24,0,16,False
2019-10-27,0,23,21,0,15,False
2019-11-03,0,15,15,0,31,False
2019-11-10,15,31,26,0,0,False
2019-11-17,0,15,15,0,15,False
2019-11-24,14,0,22,0,15,False
2019-12-01,16,0,16,0,32,False
2019-12-08,0,16,33,0,0,False
2019-12-15,0,15,30,0,15,False
2019-12-22,17,16,16,0,0,False
2019-12-29,17,0,22,0,33,False
2020-01-05,0,16,16,0,16,False
2020-01-12,0,0,24,0,14,False
2020-01-19,0,0,21,0,14,False
2020-01-26,0,15,15,0,0,False
2020-02-02,30,15,15,0,15,False
2020-02-09,15,0,15,0,31,False
2020-02-16,0,0,21,0,16,False
2020-02-23,15,0,15,0,15,False
2020-03-01,0,21,29,0,14,False
2020-03-08,0,0,0,0,0,False
2020-03-15,13,13,13,0,0,False
2020-03-22,25,12,0,0,12,False
2020-03-29,12,0,12,0,12,False
2020-04-05,26,0,13,0,38,False
2020-04-12,0,12,12,0,0,False
2020-04-19,0,0,12,0,0,False
2020-04-26,0,13,17,0,13,False
2020-05-03,12,0,37,0,25,False
2020-05-10,0,12,13,0,13,False
2020-05-17,0,0,20,0,0,False
2020-05-24,0,21,14,0,0,False
2020-05-31,0,0,13,0,13,False
2020-06-07,0,0,13,0,13,False
2020-06-14,100,50,50,0,0,True
