date,clases de yoga,clases de ingles,nutricionista,curso de cocina,entrenador personal,isPartial
2018-01-07,19,20,19,0,19,False
2018-01-14,19,19,39,20,19,False
2018-01-21,0,19,57,0,38,False
2018-01-28,19,19,19,0,19,False
2018-02-04,0,38,38,0,19,False
2018-02-11,39,0,19,0,0,False
2018-02-18,0,19,39,39,0,False
2018-02-25,19,0,19,0,18,False
2018-03-04,0,19,75,0,0,False
2018-03-11,0,0,38,0,19,False
2018-03-18,0,0,20,20,20,False
2018-03-25,0,0,44,0,0,False
2018-04-01,0,0,0,0,20,False
2018-04-08,0,28,38,0,19,False
2018-04-15,0,0,19,0,0,False
2018-04-22,18,0,18,0,18,False
2018-04-29,0,0,0,0,0,False
2018-05-06,0,19,19,0,19,False
2018-05-13,0,0,29,0,19,False
2018-05-20,0,29,0,0,20,False
2018-05-27,0,0,28,19,19,False
2018-06-03,0,0,28,0,0,False
2018-06-10,0,0,18,0,37,False
2018-06-17,0,0,30,0,20,False
2018-06-24,0,0,20,0,0,False
2018-07-01,0,0,20,20,80,False
2018-07-08,0,40,20,0,40,False
2018-07-15,0,21,32,0,42,False
2018-07-22,21,21,21,0,21,False
2018-07-29,0,0,0,0,21,False
2018-08-05,21,0,0,21,21,False
2018-08-12,0,21,0,0,0,False
2018-08-19,22,0,22,0,0,False
2018-08-26,21,0,41,42,21,False
2018-09-02,0,19,28,0,38,False
2018-09-09,0,28,19,0,37,False
2018-09-16,0,19,38,19,0,False
2018-09-23,19,38,19,19,0,False
2018-09-30,19,19,38,19,39,False
2018-10-07,20,20,39,0,0,False
2018-10-14,18,0,37,0,0,False
2018-10-21,19,0,29,38,38,False
2018-10-28,20,0,20,0,0,False
2018-11-04,0,0,57,19,19,False
2018-11-11,19,0,18,0,0,False
2018-11-18,0,0,0,0,18,False
2018-11-25,0,19,19,19,19,False
2018-12-02,0,0,0,0,0,False
2018-12-09,0,20,29,0,0,False
2018-12-16,0,21,0,0,21,False
2018-12-23,23,22,23,0,0,False
2018-12-30,0,22,22,0,22,False
2019-01-06,0,29,68,0,0,False
2019-01-13,19,0,19,0,38,False
2019-01-20,17,0,53,18,35,False
2019-01-27,0,0,18,0,28,False
2019-02-03,19,0,37,0,0,False
2019-02-10,19,0,0,0,0,False
2019-02-17,0,0,38,0,0,False
2019-02-24,19,19,38,0,38,False
2019-03-03,0,19,39,0,19,False
2019-03-10,0,0,29,0,0,False
2019-03-17,0,0,29,0,20,False
2019-03-24,0,0,47,0,57,False
2019-03-31,0,18,45,18,36,False
2019-04-07,0,20,20,0,39,False
2019-04-14,19,0,19,19,37,False
2019-04-21,0,19,19,0,38,False
2019-04-28,0,19,38,0,37,False
2019-05-05,19,0,19,0,19,False
2019-05-12,19,19,47,38,19,False
2019-05-19,18,0,37,0,0,False
2019-05-26,0,36,36,0,27,False
2019-06-02,18,18,54,0,36,False
2019-06-09,0,0,19,19,0,False
2019-06-16,19,19,38,19,19,False
2019-06-23,38,19,19,0,19,False
2019-06-30,0,0,58,0,39,False
2019-07-07,0,0,19,0,19,False
2019-07-14,0,0,40,0,20,False
2019-07-21,20,0,82,0,0,False
2019-07-28,0,21,0,0,21,False
2019-08-04,0,0,42,0,0,False
2019-08-11,0,0,21,21,0,False
2019-08-18,20,20,50,0,20,False
2019-08-25,28,19,37,0,47,False
2019-09-01,18,18,36,18,36,False
2019-09-08,0,16,33,0,0,False
2019-09-15,18,37,55,18,18,False
2019-09-22,18,55,18,0,18,False
2019-09-29,18,26,0,0,35,False
2019-10-06,0,17,17,0,17,False
2019-10-13,17,17,34,0,26,False
2019-10-20,0,0,33,0,0,False
2019-10-27,17,0,34,17,34,False
2019-11-03,33,0,83,0,17,False
2019-11-10,0,17,17,17,67,False
2019-11-17,0,17,17,17,0,False
2019-11-24,0,33,41,16,16,False
2019-12-01,0,16,25,16,16,False
2019-12-08,0,35,52,17,17,False
2019-12-15,17,17,0,0,0,False
2019-12-22,18,18,27,0,18,False
2019-12-29,0,0,46,0,18,False
2020-01-05,16,0,24,0,32,False
2020-01-12,0,30,30,0,15,False
2020-01-19,0,15,15,29,15,False
2020-01-26,0,32,32,16,0,False
2020-02-02,15,31,46,0,0,False
2020-02-09,0,16,47,0,16,False
2020-02-16,0,46,38,0,30,False
2020-02-23,15,15,53,15,30,False
2020-03-01,0,15,37,0,37,False
2020-03-08,14,0,22,14,0,False
2020-03-15,0,27,13,0,0,False
2020-03-22,24,24,18,0,0,False
2020-03-29,12,0,0,12,0,False
2020-04-05,20,20,27,0,41,False
2020-04-12,0,13,0,0,25,False
2020-04-19,0,12,12,0,12,False
2020-04-26,13,25,38,0,19,False
2020-05-03,0,13,13,0,25,False
2020-05-10,13,0,13,0,13,False
2020-05-17,0,20,20,0,20,False
2020-05-24,0,0,34,0,13,False
2020-05-31,0,13,39,0,26,False
2020-06-07,13,14,13,13,20,False
2020-06-14,0,0,50,0,100,True
