date,Fliesenarbeiten,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,25,False
2018-02-04,34,False
2018-02-11,39,False
2018-02-18,17,False
2018-02-25,100,False
2018-03-04,33,False
2018-03-11,39,False
2018-03-18,22,False
2018-03-25,30,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,44,False
2018-04-22,17,False
2018-04-29,29,False
2018-05-06,35,False
2018-05-13,28,False
2018-05-20,30,False
2018-05-27,35,False
2018-06-03,57,False
2018-06-10,16,False
2018-06-17,33,False
2018-06-24,17,False
2018-07-01,33,False
2018-07-08,42,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,29,False
2018-08-05,40,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,34,False
2018-09-02,45,False
2018-09-09,42,False
2018-09-16,25,False
2018-09-23,17,False
2018-09-30,34,False
2018-10-07,45,False
2018-10-14,17,False
2018-10-21,28,False
2018-10-28,33,False
2018-11-04,16,False
2018-11-11,33,False
2018-11-18,21,False
2018-11-25,16,False
2018-12-02,24,False
2018-12-09,49,False
2018-12-16,34,False
2018-12-23,29,False
2018-12-30,18,False
2019-01-06,39,False
2019-01-13,26,False
2019-01-20,25,False
2019-01-27,26,False
2019-02-03,47,False
2019-02-10,26,False
2019-02-17,32,False
2019-02-24,41,False
2019-03-03,16,False
2019-03-10,36,False
2019-03-17,24,False
2019-03-24,43,False
2019-03-31,22,False
2019-04-07,40,False
2019-04-14,35,False
2019-04-21,17,False
2019-04-28,26,False
2019-05-05,52,False
2019-05-12,16,False
2019-05-19,21,False
2019-05-26,49,False
2019-06-02,47,False
2019-06-09,27,False
2019-06-16,33,False
2019-06-23,32,False
2019-06-30,27,False
2019-07-07,37,False
2019-07-14,41,False
2019-07-21,29,False
2019-07-28,34,False
2019-08-04,26,False
2019-08-11,32,False
2019-08-18,22,False
2019-08-25,40,False
2019-09-01,16,False
2019-09-08,32,False
2019-09-15,53,False
2019-09-22,52,False
2019-09-29,26,False
2019-10-06,23,False
2019-10-13,54,False
2019-10-20,23,False
2019-10-27,30,False
2019-11-03,44,False
2019-11-10,37,False
2019-11-17,25,False
2019-11-24,36,False
2019-12-01,38,False
2019-12-08,75,False
2019-12-15,38,False
2019-12-22,26,False
2019-12-29,16,False
2020-01-05,21,False
2020-01-12,37,False
2020-01-19,33,False
2020-01-26,42,False
2020-02-02,38,False
2020-02-09,28,False
2020-02-16,14,False
2020-02-23,23,False
2020-03-01,37,False
2020-03-08,22,False
2020-03-15,21,False
2020-03-22,38,False
2020-03-29,25,False
2020-04-05,42,False
2020-04-12,31,False
2020-04-19,39,False
2020-04-26,38,False
2020-05-03,58,False
2020-05-10,30,False
