geoName,geoCode,Marmor
Baden-Württemberg,DE-BW,80
Bavaria,DE-BY,78
Berlin,DE-BE,75
Brandenburg,DE-BB,55
Bremen,DE-HB,77
Hamburg,DE-HH,100
Hesse,DE-HE,76
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,49
North Rhine-Westphalia,DE-NW,88
Rhineland-Palatinate,DE-RP,75
Saarland,DE-SL,76
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,52
Schleswig-Holstein,DE-SH,53
Thuringia,DE-TH,59
