date,Marmor,isPartial
2018-01-07,51,False
2018-01-14,66,False
2018-01-21,69,False
2018-01-28,65,False
2018-02-04,47,False
2018-02-11,49,False
2018-02-18,52,False
2018-02-25,63,False
2018-03-04,50,False
2018-03-11,66,False
2018-03-18,64,False
2018-03-25,56,False
2018-04-01,63,False
2018-04-08,61,False
2018-04-15,67,False
2018-04-22,61,False
2018-04-29,50,False
2018-05-06,49,False
2018-05-13,49,False
2018-05-20,60,False
2018-05-27,48,False
2018-06-03,52,False
2018-06-10,55,False
2018-06-17,61,False
2018-06-24,43,False
2018-07-01,49,False
2018-07-08,63,False
2018-07-15,53,False
2018-07-22,50,False
2018-07-29,54,False
2018-08-05,49,False
2018-08-12,63,False
2018-08-19,71,False
2018-08-26,54,False
2018-09-02,73,False
2018-09-09,71,False
2018-09-16,59,False
2018-09-23,70,False
2018-09-30,67,False
2018-10-07,65,False
2018-10-14,68,False
2018-10-21,66,False
2018-10-28,56,False
2018-11-04,57,False
2018-11-11,79,False
2018-11-18,60,False
2018-11-25,54,False
2018-12-02,51,False
2018-12-09,66,False
2018-12-16,53,False
2018-12-23,68,False
2018-12-30,68,False
2019-01-06,83,False
2019-01-13,77,False
2019-01-20,77,False
2019-01-27,69,False
2019-02-03,72,False
2019-02-10,81,False
2019-02-17,74,False
2019-02-24,57,False
2019-03-03,83,False
2019-03-10,67,False
2019-03-17,70,False
2019-03-24,76,False
2019-03-31,67,False
2019-04-07,77,False
2019-04-14,51,False
2019-04-21,64,False
2019-04-28,78,False
2019-05-05,58,False
2019-05-12,59,False
2019-05-19,51,False
2019-05-26,67,False
2019-06-02,51,False
2019-06-09,61,False
2019-06-16,69,False
2019-06-23,58,False
2019-06-30,61,False
2019-07-07,70,False
2019-07-14,72,False
2019-07-21,65,False
2019-07-28,52,False
2019-08-04,79,False
2019-08-11,62,False
2019-08-18,92,False
2019-08-25,65,False
2019-09-01,54,False
2019-09-08,76,False
2019-09-15,66,False
2019-09-22,72,False
2019-09-29,81,False
2019-10-06,84,False
2019-10-13,79,False
2019-10-20,69,False
2019-10-27,81,False
2019-11-03,69,False
2019-11-10,71,False
2019-11-17,67,False
2019-11-24,74,False
2019-12-01,74,False
2019-12-08,83,False
2019-12-15,62,False
2019-12-22,74,False
2019-12-29,82,False
2020-01-05,94,False
2020-01-12,72,False
2020-01-19,92,False
2020-01-26,62,False
2020-02-02,81,False
2020-02-09,60,False
2020-02-16,66,False
2020-02-23,89,False
2020-03-01,83,False
2020-03-08,83,False
2020-03-15,56,False
2020-03-22,88,False
2020-03-29,95,False
2020-04-05,100,False
2020-04-12,77,False
2020-04-19,85,False
2020-04-26,95,False
2020-05-03,100,False
2020-05-10,90,False
