date,Marmor,isPartial
2018-01-07,43,False
2018-01-14,67,False
2018-01-21,58,False
2018-01-28,49,False
2018-02-04,43,False
2018-02-11,73,False
2018-02-18,36,False
2018-02-25,59,False
2018-03-04,38,False
2018-03-11,45,False
2018-03-18,56,False
2018-03-25,57,False
2018-04-01,47,False
2018-04-08,59,False
2018-04-15,50,False
2018-04-22,53,False
2018-04-29,32,False
2018-05-06,41,False
2018-05-13,56,False
2018-05-20,65,False
2018-05-27,48,False
2018-06-03,48,False
2018-06-10,59,False
2018-06-17,60,False
2018-06-24,52,False
2018-07-01,52,False
2018-07-08,52,False
2018-07-15,55,False
2018-07-22,43,False
2018-07-29,44,False
2018-08-05,57,False
2018-08-12,56,False
2018-08-19,73,False
2018-08-26,81,False
2018-09-02,71,False
2018-09-09,44,False
2018-09-16,49,False
2018-09-23,66,False
2018-09-30,55,False
2018-10-07,57,False
2018-10-14,39,False
2018-10-21,41,False
2018-10-28,61,False
2018-11-04,60,False
2018-11-11,73,False
2018-11-18,48,False
2018-11-25,34,False
2018-12-02,81,False
2018-12-09,50,False
2018-12-16,61,False
2018-12-23,88,False
2018-12-30,46,False
2019-01-06,85,False
2019-01-13,68,False
2019-01-20,71,False
2019-01-27,49,False
2019-02-03,36,False
2019-02-10,63,False
2019-02-17,66,False
2019-02-24,60,False
2019-03-03,58,False
2019-03-10,67,False
2019-03-17,67,False
2019-03-24,64,False
2019-03-31,52,False
2019-04-07,80,False
2019-04-14,76,False
2019-04-21,58,False
2019-04-28,49,False
2019-05-05,55,False
2019-05-12,50,False
2019-05-19,67,False
2019-05-26,68,False
2019-06-02,36,False
2019-06-09,39,False
2019-06-16,57,False
2019-06-23,68,False
2019-06-30,67,False
2019-07-07,52,False
2019-07-14,65,False
2019-07-21,50,False
2019-07-28,67,False
2019-08-04,76,False
2019-08-11,54,False
2019-08-18,68,False
2019-08-25,54,False
2019-09-01,86,False
2019-09-08,81,False
2019-09-15,79,False
2019-09-22,66,False
2019-09-29,90,False
2019-10-06,68,False
2019-10-13,73,False
2019-10-20,77,False
2019-10-27,74,False
2019-11-03,85,False
2019-11-10,69,False
2019-11-17,45,False
2019-11-24,75,False
2019-12-01,51,False
2019-12-08,80,False
2019-12-15,76,False
2019-12-22,62,False
2019-12-29,94,False
2020-01-05,96,False
2020-01-12,81,False
2020-01-19,53,False
2020-01-26,77,False
2020-02-02,66,False
2020-02-09,53,False
2020-02-16,66,False
2020-02-23,77,False
2020-03-01,50,False
2020-03-08,64,False
2020-03-15,45,False
2020-03-22,66,False
2020-03-29,100,False
2020-04-05,91,False
2020-04-12,79,False
2020-04-19,42,False
2020-04-26,80,False
2020-05-03,77,False
2020-05-10,86,False
