geoName,geoCode,Dachdeckermeister
Baden-Württemberg,DE-BW,17
Bavaria,DE-BY,20
Berlin,DE-BE,73
Brandenburg,DE-BB,99
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,35
Lower Saxony,DE-NI,68
Mecklenburg-Vorpommern,DE-MV,91
North Rhine-Westphalia,DE-NW,89
Rhineland-Palatinate,DE-RP,69
Saarland,DE-SL,0
Saxony,DE-SN,84
Saxony-Anhalt,DE-ST,95
Schleswig-Holstein,DE-SH,72
Thuringia,DE-TH,67
