,geoName,torta fragole
0,Abruzzo,47.0
1,Aosta,39.0
2,Apulia,60.0
3,Basilicata,81.0
4,Calabria,62.0
5,Campania,51.0
6,Emilia-Romagna,53.0
7,Friuli-Venezia Giulia,53.0
8,Lazio,42.0
9,Liguria,38.0
10,Lombardy,47.0
11,Marche,47.0
12,Molise,32.0
13,Piedmont,48.0
14,Sardinia,54.0
15,Sicily,100.0
16,Trentino-Alto Adige/South Tyrol,30.0
17,Tuscany,39.0
18,Umbria,38.0
19,Veneto,58.0
20,Grand-est,
21,Hauts-de-france,
22,Normandie,
23,Bourgogne-Franche-Comté,
24,Nouvelle-Aquitaine,
25,Occitanie,
26,Auvergne-Rhône-Alpes,
