geoName,geoCode,Asbestentsorgung
Baden-Württemberg,DE-BW,25
Bavaria,DE-BY,17
Berlin,DE-BE,25
Brandenburg,DE-BB,49
Bremen,DE-HB,0
Hamburg,DE-HH,45
Hesse,DE-HE,26
Lower Saxony,DE-NI,32
Mecklenburg-Vorpommern,DE-MV,67
North Rhine-Westphalia,DE-NW,14
Rhineland-Palatinate,DE-RP,17
Saarland,DE-SL,0
Saxony,DE-SN,13
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,18
Thuringia,DE-TH,75
