geoName,geoCode,Rasen vertikutieren
Burgenland,AT-1,0
Carinthia,AT-2,58
Lower Austria,AT-3,100
Salzburg,AT-5,50
Styria,AT-6,36
Tyrol,AT-7,83
Upper Austria,AT-4,59
Vienna,AT-9,45
Vorarlberg,AT-8,0
