geoName,geoCode,publicidad
Andalusia,ES-AN,72
Aragon,ES-AR,83
Asturias,ES-AS,70
Balearic Islands,ES-IB,57
Basque Country,ES-PV,62
Canary Islands,ES-CN,78
Cantabria,ES-CB,73
Castile and León,ES-CL,75
Castile-La Mancha,ES-CM,74
Catalonia,ES-CT,63
Ceuta,ES-CE,90
Community of Madrid,ES-MD,100
Extremadura,ES-EX,69
Galicia,ES-GA,74
La Rioja,ES-RI,54
Melilla,ES-ML,94
Navarre,ES-NC,58
Region of Murcia,ES-MC,75
Valencian Community,ES-VC,78
