geoName,geoCode,trucco
Abruzzo,IT-65,54
Aosta,IT-23,14
Apulia,IT-75,70
Basilicata,IT-77,73
Calabria,IT-78,68
Campania,IT-72,76
Emilia-Romagna,IT-45,40
Friuli-Venezia Giulia,IT-36,48
Lazio,IT-62,52
Liguria,IT-42,51
Lombardy,IT-25,43
Marche,IT-57,56
Molise,IT-67,56
Piedmont,IT-21,47
Sardinia,IT-88,100
Sicily,IT-82,89
Trentino-Alto Adige/South Tyrol,IT-32,34
Tuscany,IT-52,46
Umbria,IT-55,57
Veneto,IT-34,46
