geoName,geoCode,Lehmputz
Baden-Württemberg,DE-BW,19
Bavaria,DE-BY,19
Berlin,DE-BE,25
Brandenburg,DE-BB,64
Bremen,DE-HB,61
Hamburg,DE-HH,14
Hesse,DE-HE,35
Lower Saxony,DE-NI,35
Mecklenburg-Vorpommern,DE-MV,35
North Rhine-Westphalia,DE-NW,30
Rhineland-Palatinate,DE-RP,39
Saarland,DE-SL,32
Saxony,DE-SN,39
Saxony-Anhalt,DE-ST,74
Schleswig-Holstein,DE-SH,28
Thuringia,DE-TH,100
