date,foto,isPartial
2018-01-07,80,False
2018-01-14,84,False
2018-01-21,86,False
2018-01-28,85,False
2018-02-04,88,False
2018-02-11,91,False
2018-02-18,84,False
2018-02-25,90,False
2018-03-04,86,False
2018-03-11,81,False
2018-03-18,97,False
2018-03-25,89,False
2018-04-01,83,False
2018-04-08,70,False
2018-04-15,79,False
2018-04-22,88,False
2018-04-29,88,False
2018-05-06,81,False
2018-05-13,92,False
2018-05-20,85,False
2018-05-27,79,False
2018-06-03,84,False
2018-06-10,86,False
2018-06-17,87,False
2018-06-24,73,False
2018-07-01,86,False
2018-07-08,75,False
2018-07-15,86,False
2018-07-22,100,False
2018-07-29,76,False
2018-08-05,83,False
2018-08-12,97,False
2018-08-19,88,False
2018-08-26,90,False
2018-09-02,81,False
2018-09-09,89,False
2018-09-16,77,False
2018-09-23,78,False
2018-09-30,78,False
2018-10-07,70,False
2018-10-14,91,False
2018-10-21,78,False
2018-10-28,97,False
2018-11-04,78,False
2018-11-11,85,False
2018-11-18,76,False
2018-11-25,82,False
2018-12-02,83,False
2018-12-09,84,False
2018-12-16,88,False
2018-12-23,92,False
2018-12-30,93,False
2019-01-06,85,False
2019-01-13,81,False
2019-01-20,72,False
2019-01-27,70,False
2019-02-03,72,False
2019-02-10,71,False
2019-02-17,81,False
2019-02-24,76,False
2019-03-03,82,False
2019-03-10,80,False
2019-03-17,87,False
2019-03-24,85,False
2019-03-31,78,False
2019-04-07,83,False
2019-04-14,89,False
2019-04-21,83,False
2019-04-28,84,False
2019-05-05,86,False
2019-05-12,79,False
2019-05-19,79,False
2019-05-26,69,False
2019-06-02,67,False
2019-06-09,71,False
2019-06-16,70,False
2019-06-23,77,False
2019-06-30,70,False
2019-07-07,69,False
2019-07-14,73,False
2019-07-21,69,False
2019-07-28,77,False
2019-08-04,80,False
2019-08-11,81,False
2019-08-18,74,False
2019-08-25,73,False
2019-09-01,76,False
2019-09-08,69,False
2019-09-15,71,False
2019-09-22,67,False
2019-09-29,71,False
2019-10-06,71,False
2019-10-13,80,False
2019-10-20,73,False
2019-10-27,76,False
2019-11-03,70,False
2019-11-10,74,False
2019-11-17,69,False
2019-11-24,69,False
2019-12-01,77,False
2019-12-08,77,False
2019-12-15,73,False
2019-12-22,90,False
2019-12-29,85,False
2020-01-05,69,False
2020-01-12,73,False
2020-01-19,74,False
2020-01-26,61,False
2020-02-02,86,False
2020-02-09,74,False
2020-02-16,64,False
2020-02-23,70,False
2020-03-01,59,False
2020-03-08,67,False
2020-03-15,81,False
2020-03-22,74,False
2020-03-29,86,False
2020-04-05,77,False
2020-04-12,84,False
2020-04-19,88,False
2020-04-26,82,True
