date,foto,isPartial
2018-01-07,99,False
2018-01-14,96,False
2018-01-21,95,False
2018-01-28,93,False
2018-02-04,95,False
2018-02-11,96,False
2018-02-18,94,False
2018-02-25,95,False
2018-03-04,96,False
2018-03-11,92,False
2018-03-18,94,False
2018-03-25,95,False
2018-04-01,95,False
2018-04-08,91,False
2018-04-15,88,False
2018-04-22,90,False
2018-04-29,93,False
2018-05-06,91,False
2018-05-13,92,False
2018-05-20,95,False
2018-05-27,90,False
2018-06-03,90,False
2018-06-10,91,False
2018-06-17,91,False
2018-06-24,91,False
2018-07-01,89,False
2018-07-08,92,False
2018-07-15,96,False
2018-07-22,99,False
2018-07-29,93,False
2018-08-05,95,False
2018-08-12,98,False
2018-08-19,98,False
2018-08-26,94,False
2018-09-02,92,False
2018-09-09,94,False
2018-09-16,88,False
2018-09-23,87,False
2018-09-30,83,False
2018-10-07,88,False
2018-10-14,92,False
2018-10-21,84,False
2018-10-28,91,False
2018-11-04,87,False
2018-11-11,89,False
2018-11-18,87,False
2018-11-25,93,False
2018-12-02,90,False
2018-12-09,85,False
2018-12-16,85,False
2018-12-23,100,False
2018-12-30,98,False
2019-01-06,89,False
2019-01-13,84,False
2019-01-20,84,False
2019-01-27,81,False
2019-02-03,84,False
2019-02-10,84,False
2019-02-17,82,False
2019-02-24,82,False
2019-03-03,95,False
2019-03-10,96,False
2019-03-17,85,False
2019-03-24,82,False
2019-03-31,82,False
2019-04-07,93,False
2019-04-14,87,False
2019-04-21,88,False
2019-04-28,86,False
2019-05-05,81,False
2019-05-12,86,False
2019-05-19,82,False
2019-05-26,78,False
2019-06-02,82,False
2019-06-09,80,False
2019-06-16,83,False
2019-06-23,82,False
2019-06-30,85,False
2019-07-07,81,False
2019-07-14,88,False
2019-07-21,81,False
2019-07-28,85,False
2019-08-04,81,False
2019-08-11,92,False
2019-08-18,88,False
2019-08-25,83,False
2019-09-01,80,False
2019-09-08,81,False
2019-09-15,78,False
2019-09-22,78,False
2019-09-29,78,False
2019-10-06,78,False
2019-10-13,81,False
2019-10-20,77,False
2019-10-27,78,False
2019-11-03,79,False
2019-11-10,77,False
2019-11-17,78,False
2019-11-24,76,False
2019-12-01,80,False
2019-12-08,78,False
2019-12-15,80,False
2019-12-22,91,False
2019-12-29,93,False
2020-01-05,80,False
2020-01-12,80,False
2020-01-19,82,False
2020-01-26,77,False
2020-02-02,80,False
2020-02-09,84,False
2020-02-16,75,False
2020-02-23,72,False
2020-03-01,73,False
2020-03-08,74,False
2020-03-15,84,False
2020-03-22,87,False
2020-03-29,89,False
2020-04-05,92,False
2020-04-12,92,False
2020-04-19,93,False
2020-04-26,91,True
