geoName,geoCode,foto
Abruzzo,IT-65,87
Aosta,IT-23,96
Apulia,IT-75,91
Basilicata,IT-77,91
Calabria,IT-78,100
Campania,IT-72,99
Emilia-Romagna,IT-45,83
Friuli-Venezia Giulia,IT-36,86
Lazio,IT-62,82
Liguria,IT-42,90
Lombardy,IT-25,82
Marche,IT-57,84
Molise,IT-67,87
Piedmont,IT-21,91
Sardinia,IT-88,89
Sicily,IT-82,97
Trentino-Alto Adige/South Tyrol,IT-32,64
Tuscany,IT-52,83
Umbria,IT-55,84
Veneto,IT-34,88
