geoName,geoCode,entrenador personal
Andalusia,ES-AN,55
Aragon,ES-AR,75
Asturias,ES-AS,57
Balearic Islands,ES-IB,97
Basque Country,ES-PV,58
Canary Islands,ES-CN,73
Cantabria,ES-CB,83
Castile and León,ES-CL,59
Castile-La Mancha,ES-CM,72
Catalonia,ES-CT,58
Ceuta,ES-CE,0
Community of Madrid,ES-MD,84
Extremadura,ES-EX,61
Galicia,ES-GA,73
La Rioja,ES-RI,100
Melilla,ES-ML,0
Navarre,ES-NC,61
Region of Murcia,ES-MC,76
Valencian Community,ES-VC,77
