ticket_taxonomy_tag_name,ticket_geo_region_name,Score
Diätberater,Baden-Württemberg,6.300182921
Diätberater,Bayern,10
Diätberater,Berlin,4.598440358
Diätberater,Brandenburg,3.408886108
Diätberater,Bremen,6.690671031
Diätberater,Hamburg,8.898623279
Diätberater,Hessen,4.051198614
Diätberater,Mecklenburg-Vorpommern,2.657398671
Diätberater,Niedersachsen,4.343410032
Diätberater,Nordrhein-Westfalen,4.462693752
Diätberater,Rheinland-Pfalz,6.621498026
Diätberater,Saarland,2.702474247
Diätberater,Sachsen,4.422884375
Diätberater,Sachsen-Anhalt,2.581207278
Diätberater,Schleswig-Holstein,4.83442765
Diätberater,Thüringen,2.45759122
Einkäufe liefern,Baden-Württemberg,4.921871677
Einkäufe liefern,Bayern,6.485359801
Einkäufe liefern,Berlin,7.093512939
Einkäufe liefern,Brandenburg,3.823644098
Einkäufe liefern,Bremen,1.628146048
Einkäufe liefern,Hamburg,2.915136476
Einkäufe liefern,Hessen,3.612406948
Einkäufe liefern,Mecklenburg-Vorpommern,3.183977313
Einkäufe liefern,Niedersachsen,6.049237859
Einkäufe liefern,Nordrhein-Westfalen,10
Einkäufe liefern,Rheinland-Pfalz,2.908330379
Einkäufe liefern,Saarland,1.687628501
Einkäufe liefern,Sachsen,1.88606877
Einkäufe liefern,Sachsen-Anhalt,1.951612903
Einkäufe liefern,Schleswig-Holstein,2.120276498
Einkäufe liefern,Thüringen,2.330024814
Gebäudereinigung und -wartung,Baden-Württemberg,8.632366916
Gebäudereinigung und -wartung,Bayern,8.026224183
Gebäudereinigung und -wartung,Berlin,7.462261224
Gebäudereinigung und -wartung,Brandenburg,5.651246
Gebäudereinigung und -wartung,Bremen,6.511538834
Gebäudereinigung und -wartung,Hamburg,5.080267623
Gebäudereinigung und -wartung,Hessen,7.761121885
Gebäudereinigung und -wartung,Mecklenburg-Vorpommern,4.015514399
Gebäudereinigung und -wartung,Niedersachsen,7.170973529
Gebäudereinigung und -wartung,Nordrhein-Westfalen,10
Gebäudereinigung und -wartung,Rheinland-Pfalz,7.299961214
Gebäudereinigung und -wartung,Saarland,3.76902938
Gebäudereinigung und -wartung,Sachsen,6.676432658
