geoName,geoCode,Zauntor
Baden-Württemberg,DE-BW,48
Bavaria,DE-BY,46
Berlin,DE-BE,34
Brandenburg,DE-BB,95
Bremen,DE-HB,0
Hamburg,DE-HH,37
Hesse,DE-HE,36
Lower Saxony,DE-NI,78
Mecklenburg-Vorpommern,DE-MV,90
North Rhine-Westphalia,DE-NW,71
Rhineland-Palatinate,DE-RP,28
Saarland,DE-SL,0
Saxony,DE-SN,22
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,74
Thuringia,DE-TH,75
