,geoName,psychologue clinicien
3,Brittany,80.0
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,51.85185185185185
18,Provence-Alpes-Côte d'Azur,65.18518518518519
21,Île-de-France,74.07407407407408
22,Grand-est,24.197530864197528
23,Hauts-de-france,36.2962962962963
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,28.641975308641975
27,Occitanie,100.0
28,Auvergne-Rhône-Alpes,25.185185185185183
