geoName,geoCode,Steingarten
Burgenland,AT-1,72
Carinthia,AT-2,100
Lower Austria,AT-3,48
Salzburg,AT-5,33
Styria,AT-6,70
Tyrol,AT-7,53
Upper Austria,AT-4,60
Vienna,AT-9,26
Vorarlberg,AT-8,59
