geoName,geoCode,Balkon
Burgenland,AT-1,75
Carinthia,AT-2,76
Lower Austria,AT-3,75
Salzburg,AT-5,89
Styria,AT-6,91
Tyrol,AT-7,91
Upper Austria,AT-4,80
Vienna,AT-9,100
Vorarlberg,AT-8,94
